Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,1225,3877,4749325,Bhubaneswar,0
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,3,1530,3986,6098580,Bhubaneswar,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,July 2020,3,1256,5175,6499800,Bhubaneswar,0
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,3,1577,6100,9619700,Bhubaneswar,0
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,3,2nd of 4,NaN,NaN,NaN,NaN,December 2020,3,1450,3931,5699950,Bhubaneswar,1150
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,1st of 5,NaN,NaN,NaN,NaN,December 2020,3,1424,3549,5053776,Bhubaneswar,1050
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,3,2nd of 4,NaN,NaN,NaN,NaN,December 2020,3,1544,3800,5867200,Bhubaneswar,0
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,5th of 14,NaN,NaN,NaN,NaN,December 2019,2,1275,3299,4206225,Bhubaneswar,1084
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,February 2020,2,1336,3742,4999312,Bhubaneswar,0
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,May 2020,3,1450,3482,5048900,Bhubaneswar,1015
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,3rd of 4,NaN,NaN,NaN,NaN,December 2019,2,1250,3920,4900000,Bhubaneswar,1249
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,March 2020,3,1480,3902,5774960,Bhubaneswar,1184
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,7th of 7,NaN,NaN,NaN,NaN,December 2019,3,1400,4785,6699000,Bhubaneswar,1050
Available,Available,Available,Not Available,Available,Available,Available,Available,Under Construction,3,1st of 5,NaN,NaN,NaN,NaN,December 2019,3,1435,4200,6027000,Bhubaneswar,1148
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,7th of 8,NaN,NaN,NaN,NaN,April 2020,2,1220,2763,3370860,Bhubaneswar,915
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,1225,3877,4749325,Bhubaneswar,0
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,2,1st of 4,NaN,NaN,NaN,NaN,December 2020,2,1303,4000,5212000,Bhubaneswar,950
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,6th of 14,NaN,NaN,NaN,NaN,December 2019,3,1315,3300,4339500,Bhubaneswar,859
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,5th of 7,NaN,NaN,NaN,NaN,October 2020,2,1220,2763,3370860,Bhubaneswar,950
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,10th of 16,NaN,NaN,NaN,NaN,April 2020,3,1788,4800,8582400,Bhubaneswar,1588
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,4th of 14,NaN,NaN,NaN,NaN,December 2019,2,1275,3399,4333725,Bhubaneswar,739
