Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,December 2020,3,1600,2812,4499200,1200,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,December 2020,3,2500,5600,14000000,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,1350,2214,2988900,1300,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,October 2020,3,1500,3000,4500000,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,November 2020,4,2250,4444,9999000,2200,Chandigarh
Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Ready to move,,,Resale,,,,October 2020,3,1560,7051,10999560,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,December 2020,3,1800,3216,5788800,1700,Chandigarh
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,2,800,3250,2600000,700,Chandigarh
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,October 2020,2,1250,2072,2590000,1190,Chandigarh
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,November 2020,3,1800,2222,3999600,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,,,New,,,,October 2020,3,1638,4084,6689592,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,October 2020,3,1877,4006,7519262,1365,Chandigarh
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,September 2020,3,2250,8222,18499500,0,Chandigarh
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Under Construction,,,New,,,,June 2020,2,1000,6000,6000000,100,Chandigarh
Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,November 2020,3,860,5000,4300000,680,Chandigarh
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,2100,5714,11999400,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,December 2020,3,1500,3000,4500000,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,November 2020,3,1550,4451,6899050,1340,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,1600,3750,6000000,1500,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,December 2020,3,1350,2962,3998700,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,,,New,,,,October 2020,3,1638,4084,6689592,0,Chandigarh
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,,,New,,,,October 2020,2,1008,3065,3089520,900,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,October 2020,3,2350,2553,5999550,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,September 2020,3,1780,3084,5489520,0,Chandigarh
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,September 2020,3,2000,8000,16000000,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,December 2020,3,1600,4059,6494400,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,November 2020,3,1350,3333,4499550,1200,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,December 2020,3,1610,3788,6098680,0,Chandigarh
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,5,2100,6904,14498400,2000,Chandigarh
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,,,NaN,,,,December 2020,4,2225,3370,7498250,1620,Chandigarh
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,1900,5263,9999700,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,December 2020,3,1600,3062,4899200,1400,Chandigarh
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,,,NaN,,,,December 2020,4,2210,3393,7498530,1910,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,April 2020,4,1940,4262,8268280,1600,Chandigarh
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,October 2020,2,1250,2072,2590000,1190,Chandigarh
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,,,NaN,,,,November 2020,2,850,4694,3989900,800,Chandigarh
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,,,NaN,,,,November 2020,3,1534,4563,6999642,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,September 2020,2,1000,8000,8000000,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,,,New,,,,September 2020,2,1260,4380,5518800,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,October 2020,3,1915,4699,8998585,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,NaN,,,,December 2020,3,1210,1890,2286900,1050,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,3,1520,3790,5760800,975,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,3,1690,3790,6405100,1086,Chandigarh
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,,,NaN,,,,October 2020,4,2809,3488,9797792,1688,Chandigarh
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,,,NaN,,,,February 2020,1,883,4530,3999990,418,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,October 2020,3,2300,2608,5998400,0,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,3,1500,3126,4689000,1325,Chandigarh
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,September 2020,3,1700,6764,11498800,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,1600,3750,6000000,1500,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,November 2020,3,1600,2812,4499200,1200,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,October 2020,2,1080,3703,3999240,0,Chandigarh
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,,,NaN,,,,December 2020,2,1250,3840,4800000,1080,Chandigarh
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,,,New,,,,October 2020,2,1008,3164,3189312,900,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Not Available,Under Construction,,,NaN,,,,October 2020,3,2020,3901,7880020,1370,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,2,1270,3901,4954270,794,Chandigarh
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,1750,5714,9999500,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,November 2020,2,1150,4086,4698900,800,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,,,New,,,,October 2020,3,1638,4084,6689592,0,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,2,1270,3790,4813300,794,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,NaN,,,,December 2020,3,1210,1888,2284480,1100,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,October 2020,3,1860,4026,7488360,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,October 2020,3,2300,2608,5998400,0,Chandigarh
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,,,NaN,,,,February 2020,4,2809,3737,10497233,1688,Chandigarh
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,,,NaN,,,,December 2020,3,1350,3474,4689900,1180,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,Resale,,,,December 2020,3,1940,3917,7598980,0,Chandigarh
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,September 2020,3,1600,6250,10000000,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,1600,3750,6000000,1500,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,December 2020,3,1450,2896,4199200,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,March 2020,3,1310,3969,5199390,1000,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,3,2080,3901,8114080,1550,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,2,1270,3789,4812030,900,Chandigarh
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,October 2020,2,1250,2072,2590000,1190,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,October 2020,3,1440,4697,6763680,0,Chandigarh
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,,,NaN,,,,February 2020,2,1478,4059,5999202,829,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,3,1520,3900,5928000,1000,Chandigarh
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,1670,5389,8999630,0,Chandigarh
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,September 2020,3,1500,6000,9000000,1370,Chandigarh
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,,,NaN,,,,October 2020,2,1270,3841,4878070,794,Chandigarh
Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Under Construction,,,NaN,,,,December 2020,3,1772,3500,6202000,1355,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,,,New,,,,October 2020,3,1488,4025,5989200,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,November 2020,3,1600,3062,4899200,1400,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2020,3,1600,4687,7499200,1500,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,November 2020,3,1600,2812,4499200,1200,Chandigarh
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,,,New,,,,December 2019,3,2020,4108,8298160,0,Chandigarh
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2019,2,1155,3549,4099095,1005,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,September 2020,3,1600,3062,4899200,0,Chandigarh
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,New,,,,September 2020,3,1500,3000,4500000,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,Resale,,,,December 2020,3,1400,3214,4499600,1200,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,December 2020,4,2250,4262,9589500,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,October 2020,2,1355,3763,5098865,0,Chandigarh
Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2019,3,1825,3350,6113750,1825,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,April 2020,4,2284,3918,8948712,1910,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,November 2020,3,1450,2896,4199200,0,Chandigarh
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2019,2,1155,3549,4099095,1005,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,October 2020,3,2700,4629,12498300,0,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,November 2020,3,1600,2812,4499200,1200,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,Resale,,,,December 2020,3,1600,4062,6499200,1500,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,,,New,,,,November 2020,2,1150,4086,4698900,840,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,November 2020,3,1600,3062,4899200,1400,Chandigarh
Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,,,Resale,,,,December 2019,3,1825,3350,6113750,1825,Chandigarh
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,,,New,,,,November 2020,3,1450,2896,4199200,0,Chandigarh
