Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,September 2020,4,2276,4920,11197920,2276,Coimbatore
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,August 2020,2,870,2800,2436000,870,Coimbatore
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1636,4297,7029892,1636,Coimbatore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,March 2020,2,1140,4122,4699080,1140,Coimbatore
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,625,3950,2468750,625,Coimbatore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,886,4853,4299758,886,Coimbatore
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,1069,3741,3999129,1069,Coimbatore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,3,1315,4182,5499330,1315,Coimbatore
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,1071,3921,4199391,1071,Coimbatore
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,4,NaN,New,NaN,NaN,NaN,September 2020,4,3446,12710,43798660,3446,Coimbatore
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,July 2020,3,2240,7991,17899840,2240,Coimbatore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,1,542,4688,2540896,542,Coimbatore
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,March 2020,1,900,3333,2999700,900,Coimbatore
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,New,NaN,NaN,NaN,March 2020,3,1500,7333,10999500,1500,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,September 2020,3,1676,5786,9697336,1676,Coimbatore
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,March 2020,1,625,3625,2265625,625,Coimbatore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,1049,2383,2499767,1049,Coimbatore
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,3,1253,4389,5499417,1253,Coimbatore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,NaN,New,NaN,NaN,NaN,December 2020,1,542,4797,2599974,542,Coimbatore
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,853,3884,3313052,853,Coimbatore
