Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,445,4044,1799580,445,Delhi
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,NaN,NaN,Resale,NaN,NaN,No,December 2020,2,650,4000,2600000,650,Delhi
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,460,5000,2300000,460,Delhi
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,1100,7272,7999200,1100,Delhi
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,650,4923,3199950,650,Delhi
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,750,4866,3649500,750,Delhi
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,900,5000,4500000,900,Delhi
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,1,NaN,Resale,NaN,NaN,NaN,November 2020,2,450,4444,1999800,450,Delhi
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,1,NaN,Resale,NaN,NaN,NaN,November 2020,2,580,2931,1699980,580,Delhi
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,,4,NaN,Resale,NaN,NaN,NaN,November 2020,5,5000,2500,12500000,5000,Delhi
Available,Available,Available,Available,Available,Available,Available,Available,,1,NaN,Resale,NaN,NaN,NaN,November 2020,1,475,9473,4499675,475,Delhi
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1100,5000,5500000,1100,Delhi
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,,3,NaN,Resale,NaN,NaN,NaN,December 2020,3,1600,7812,12499200,1600,Delhi
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,900,15555,13999500,900,Delhi
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,,3,NaN,Resale,NaN,NaN,NaN,October 2020,3,2400,4375,10500000,2400,Delhi
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1000,7000,7000000,1000,Delhi
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,3,NaN,Resale,NaN,NaN,NaN,October 2020,3,1350,16666,22499100,1350,Delhi
Available,Available,Not Available,Available,Not Available,Available,Available,Not Available,,3,NaN,Resale,NaN,NaN,NaN,April 2020,3,1500,14333,21499500,1500,Delhi
