Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,1260,3500,4410000,1260,Gawahati
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,October 2020,2,950,4300,4085000,950,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1630,3803,6198890,1630,Gawahati
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1045,4200,4389000,1045,Gawahati
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1375,4200,5775000,1375,Gawahati
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1011,4200,4246200,1011,Gawahati
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,October 2020,3,1170,4300,5031000,1170,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 4,NaN,NaN,NaN,NaN,December 2020,3,1400,4142,5798800,1400,Gawahati
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,6th of 9,NaN,NaN,NaN,NaN,February 2020,3,1910,3657,6984870,1910,Gawahati
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,2,6th of 9,NaN,NaN,NaN,NaN,February 2020,3,1600,4500,7200000,1600,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,7th of 7,NaN,NaN,NaN,NaN,October 2020,2,1175,3148,3698900,1175,Gawahati
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 2,NaN,NaN,NaN,NaN,February 2020,2,1100,4090,4499000,1100,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,4th of 5,NaN,NaN,NaN,NaN,December 2019,1,650,3615,2349750,650,Gawahati
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 5,NaN,NaN,NaN,NaN,March 2020,2,1050,4000,4200000,1050,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,1st of 5,NaN,NaN,NaN,NaN,September 2020,2,1150,3913,4499950,1150,Gawahati
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1190,4200,4998000,1190,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,December 2020,3,1400,4857,6799800,1400,Gawahati
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,December 2020,3,1400,5357,7499800,1400,Gawahati
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,1st of 3,NaN,NaN,NaN,NaN,December 2019,3,1464,4201,6150264,1464,Gawahati
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,October 2020,2,1040,4230,4399200,1040,Gawahati
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,1st of 4,NaN,NaN,NaN,NaN,December 2019,3,1800,4166,7498800,1800,Gawahati
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,Gr of 2,NaN,NaN,NaN,NaN,December 2020,3,990,3750,3712500,990,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,5th of 5,NaN,NaN,NaN,NaN,February 2020,2,950,4210,3999500,950,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,Gr of 2,NaN,NaN,NaN,NaN,February 2020,2,1050,3428,3599400,1050,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,4th of 5,NaN,NaN,NaN,NaN,March 2020,2,1013,3751,3799763,1013,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 3,NaN,NaN,NaN,NaN,December 2020,3,1260,3492,4399920,1260,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 7,NaN,NaN,NaN,NaN,December 2019,3,1203,3500,4210500,1203,Gawahati
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,3,2nd of 3,NaN,NaN,NaN,NaN,December 2020,3,1600,3875,6200000,1600,Gawahati
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,6th of 9,NaN,NaN,NaN,NaN,February 2020,3,1842,3664,6749088,1842,Gawahati
Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,5th of 14,NaN,NaN,NaN,NaN,December 2019,3,1400,2857,3999800,1400,Gawahati
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1842,3800,6999600,1842,Gawahati
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,Resale,NaN,NaN,NaN,February 2020,3,1471,4486,6598906,1471,Gawahati
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 2,NaN,NaN,NaN,NaN,December 2020,3,1060,3900,4134000,1060,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,3rd of 4,NaN,NaN,NaN,NaN,December 2020,2,1150,4956,5699400,1150,Gawahati
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,December 2020,2,1150,3739,4299850,1150,Gawahati
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 2,NaN,NaN,NaN,NaN,October 2020,2,825,4242,3499650,825,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,March 2020,3,1400,4642,6498800,1400,Gawahati
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,3rd of 3,NaN,NaN,NaN,NaN,October 2020,2,942,3821,3599382,942,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 3,NaN,NaN,NaN,NaN,October 2020,3,1350,3333,4499550,1350,Gawahati
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,9th of 12,NaN,NaN,NaN,NaN,February 2020,4,2927,4492,13148084,2927,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,December 2020,3,1800,6111,10999800,1800,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,6th of 6,NaN,NaN,NaN,NaN,December 2020,3,1560,4692,7319520,1560,Gawahati
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,October 2020,2,1010,3762,3799620,1010,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,July 2020,2,960,5729,5499840,960,Gawahati
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,6th of 6,NaN,NaN,NaN,NaN,September 2020,3,1400,3928,5499200,1400,Gawahati
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 4,NaN,NaN,NaN,NaN,December 2020,3,1336,3700,4943200,1336,Gawahati
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,July 2020,2,1000,4000,4000000,1000,Gawahati
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,2,2nd of 7,NaN,NaN,NaN,NaN,September 2020,3,1300,3461,4499300,1300,Gawahati
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,3,3rd of 7,NaN,NaN,NaN,NaN,September 2020,3,1700,5764,9798800,1700,Gawahati
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,4th of 5,NaN,NaN,NaN,NaN,August 2020,3,1290,5038,6499020,1290,Gawahati
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,June 2020,2,1250,5440,6800000,1250,Gawahati
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Under Construction,3,2nd of 6,NaN,NaN,NaN,NaN,August 2020,3,1250,4000,5000000,1250,Gawahati
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1035,4200,4347000,1035,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,September 2020,3,1536,3059,4698624,1536,Gawahati
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,February 2020,2,1200,3333,3999600,1200,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,December 2020,2,1230,5000,6150000,1230,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,3,1300,4000,5200000,1300,Gawahati
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,5th of 9,NaN,NaN,NaN,NaN,February 2020,3,1630,3680,5998400,1630,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,1st of 1,NaN,NaN,NaN,NaN,December 2020,1,450,2777,1249650,450,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,2nd of 4,NaN,NaN,NaN,NaN,March 2020,4,2112,4640,9799680,2112,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,March 2020,3,1200,4166,4999200,1200,Gawahati
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 3,NaN,NaN,NaN,NaN,September 2020,3,1350,5925,7998750,1350,Gawahati
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 2,NaN,NaN,NaN,NaN,August 2020,3,1450,4000,5800000,1450,Gawahati
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,August 2020,2,1040,4544,4725760,1040,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,June 2020,2,750,4000,3000000,750,Gawahati
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,August 2020,3,1360,3979,5411440,1360,Gawahati
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 7,NaN,NaN,NaN,NaN,October 2020,2,880,4545,3999600,880,Gawahati
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,5th of 7,NaN,NaN,NaN,NaN,September 2020,2,1080,4166,4499280,1080,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,March 2020,2,1170,3418,3999060,1170,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,April 2020,2,1200,5000,6000000,1200,Gawahati
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,November 2020,2,997,5215,5199355,997,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,August 2020,3,1600,2625,4200000,1600,Gawahati
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,July 2020,2,950,4631,4399450,950,Gawahati
