Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,1,824,7281,5999544,824,Goa
Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Ready to move,4,NaN,Resale,NaN,NaN,NaN,December 2020,4,2937,8512,24999744,2937,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1076,3717,3999492,1076,Goa
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,August 2020,1,605,6528,3949440,605,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1000,6700,6700000,1000,Goa
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,June 2020,3,1370,4306,5899220,1370,Goa
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,July 2020,2,1024,4882,4999168,1024,Goa
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,August 2020,2,1300,10384,13499200,1300,Goa
Available,Available,Not Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,June 2020,2,1015,3645,3699675,1015,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,1675,6560,10988000,1675,Goa
Not Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1026,4483,4599558,1026,Goa
Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,October 2020,1,753,7171,5399763,753,Goa
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,February 2020,2,1000,5500,5500000,1000,Goa
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,4,NaN,New,NaN,NaN,NaN,March 2020,3,1815,5344,9699360,1815,Goa
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1055,3808,4017440,1055,Goa
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,1,NaN,New,NaN,NaN,NaN,March 2020,1,544,6985,3799840,544,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,April 2020,1,899,7566,6801834,899,Goa
Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Under Construction,4,NaN,New,NaN,NaN,NaN,August 2020,4,3186,9165,29199690,3186,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,2375,6516,15475500,2375,Goa
Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,4,2669,16012,42736028,2669,Goa
