Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,565,1769,999485,565,Indore
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,2,950,1884,1789800,950,Indore
Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,4,3000,3900,11700000,3000,Indore
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1000,5643,5643000,1000,Indore
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,March 2020,2,775,2709,2099475,775,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,February 2020,1,500,2400,1200000,500,Indore
Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,3,1637,3900,6384300,1637,Indore
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,2,880,1704,1499520,880,Indore
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1000,5643,5643000,1000,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,Gr,NaN,NaN,NaN,NaN,May 2020,2,850,2147,1824950,850,Indore
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,Resale,NaN,NaN,NaN,October 2020,2,1000,979,979000,1000,Indore
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,807,2354,1899678,807,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1200,1166,1399200,1200,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,March 2020,2,1150,1608,1849200,1150,Indore
Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,3,1444,3900,5631600,1444,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 6,NaN,NaN,NaN,NaN,October 2020,2,915,2841,2599515,915,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,1,2nd of 6,NaN,NaN,NaN,NaN,November 2020,1,695,2100,1459500,695,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,5th of 6,NaN,NaN,NaN,NaN,February 2020,3,1250,2400,3000000,1250,Indore
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,4th of 6,NaN,NaN,NaN,NaN,February 2020,2,915,2897,2650755,915,Indore
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,March 2020,2,915,2841,2599515,915,Indore
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2019,2,915,2841,2599515,915,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,4th of 6,NaN,NaN,NaN,NaN,February 2020,3,1250,2400,3000000,1250,Indore
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,4th of 6,NaN,NaN,NaN,NaN,April 2020,2,915,2841,2599515,915,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 6,NaN,NaN,NaN,NaN,February 2020,2,860,1950,1677000,860,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 2,NaN,NaN,NaN,NaN,April 2020,3,1733,3462,5999646,1733,Indore
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,3,2nd of 6,NaN,NaN,NaN,NaN,March 2020,3,1335,1850,2469750,1335,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,December 2019,2,1000,2600,2600000,1000,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 6,NaN,NaN,NaN,NaN,March 2020,2,860,2209,1899740,860,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,August 2020,2,1162,2882,3348884,1162,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,December 2019,1,707,2701,1909607,707,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,5th of 9,NaN,NaN,NaN,NaN,December 2019,3,1242,3703,4599126,1242,Indore
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 5,NaN,NaN,NaN,NaN,March 2020,2,1170,2649,3099330,1170,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,April 2020,2,895,1850,1655750,895,Indore
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,6th of 6,NaN,NaN,NaN,NaN,December 2019,2,1008,2579,2599632,1008,Indore
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,2,900,2080,1872000,900,Indore
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,December 2019,2,1000,3200,3200000,1000,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,April 2020,2,923,1895,1749085,923,Indore
Not Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,NaN,NaN,1 rooms(pooja room),NaN,NaN,December 2019,2,1066,2350,2505100,1066,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2019,2,1173,2700,3167100,1173,Indore
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,February 2020,2,1110,2972,3298920,1110,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 10,NaN,NaN,NaN,NaN,December 2019,2,1303,3760,4899280,1303,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,5th of 6,NaN,NaN,NaN,NaN,February 2020,3,1250,2400,3000000,1250,Indore
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,807,3097,2499279,807,Indore
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,December 2019,2,860,2151,1849860,860,Indore
Available,Not Available,Available,Available,Available,Available,Not Available,Available,Under Construction,3,2nd of 2,NaN,NaN,NaN,NaN,February 2020,2,1300,2500,3250000,1300,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,February 2020,2,1100,2545,2799500,1100,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,December 2019,2,1050,3142,3299100,1050,Indore
Available,Available,Available,Not Available,Available,Not Available,Available,Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2019,2,860,1950,1677000,860,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,December 2019,2,1067,3561,3799587,1067,Indore
Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Ready to move,3,3rd of 3,NaN,NaN,NaN,NaN,December 2019,4,1500,2666,3999000,1500,Indore
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 5,NaN,NaN,NaN,NaN,March 2020,3,1477,2843,4199111,1477,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,4th of 6,NaN,NaN,NaN,NaN,March 2020,3,1726,2317,3999142,1726,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,4th of 5,NaN,NaN,NaN,NaN,December 2019,1,550,2000,1100000,550,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,Gr of 6,NaN,NaN,NaN,NaN,March 2020,2,915,2841,2599515,915,Indore
Not Available,Not Available,Available,Not Available,Available,Not Available,Available,Available,Ready to move,2,4th of 8,NaN,NaN,NaN,NaN,March 2020,2,1250,2400,3000000,1250,Indore
Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,Gr of 3,NaN,NaN,NaN,NaN,March 2020,2,1500,3333,4999500,1500,Indore
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,March 2020,1,750,1866,1399500,750,Indore
Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,December 2019,3,1050,3809,3999450,1050,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,February 2020,2,883,2038,1799554,883,Indore
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,6th of 6,NaN,NaN,NaN,NaN,March 2020,2,1144,2648,3029312,1144,Indore
Not Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 5,NaN,NaN,NaN,NaN,September 2020,2,950,2043,1940850,950,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,March 2020,2,885,2076,1837260,885,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,6th of 6,NaN,NaN,NaN,NaN,March 2020,1,685,3576,2449560,685,Indore
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,1,4th of 4,NaN,NaN,NaN,NaN,September 2020,1,450,2444,1099800,450,Indore
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2019,2,878,2199,1930722,878,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,2nd of 6,NaN,NaN,NaN,NaN,March 2020,1,662,2416,1599392,662,Indore
Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,December 2019,2,690,2898,1999620,690,Indore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,March 2020,2,850,2352,1999200,850,Indore
Not Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,1,NaN,NaN,NaN,1,NaN,February 2020,1,462,2489,1149918,462,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,February 2020,2,850,2117,1799450,850,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,March 2020,2,1008,2579,2599632,1008,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,1st of 4,NaN,NaN,NaN,NaN,February 2020,1,550,2090,1149500,550,Indore
Not Available,Not Available,Available,Available,Available,Available,Not Available,Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2019,2,832,1923,1599936,832,Indore
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,March 2020,1,585,2222,1299870,585,Indore
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,1,1st of 6,NaN,NaN,NaN,NaN,December 2020,1,703,2560,1799680,703,Indore
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,1,1st of 6,NaN,NaN,NaN,NaN,September 2020,1,526,2595,1364970,526,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,5th of 50,NaN,NaN,NaN,NaN,December 2019,2,927,2804,2599308,927,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,3rd of 4,NaN,NaN,NaN,NaN,February 2020,1,550,2000,1100000,550,Indore
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,4th of 5,NaN,NaN,NaN,NaN,February 2020,3,1550,3225,4998750,1550,Indore
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,December 2019,2,1202,2662,3199724,1202,Indore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,October 2020,2,1060,3450,3657000,1060,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 4,NaN,NaN,NaN,NaN,December 2019,2,1000,2500,2500000,1000,Indore
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,March 2020,2,935,3465,3239775,935,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,1,6th of 6,NaN,NaN,NaN,NaN,November 2020,1,530,2100,1113000,530,Indore
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,September 2020,2,1045,2154,2250930,1045,Indore
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,February 2020,2,985,2995,2950075,985,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 10,NaN,NaN,NaN,NaN,December 2019,2,1130,2566,2899580,1130,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,March 2020,2,750,3998,2998500,750,Indore
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 5,NaN,NaN,NaN,NaN,December 2020,2,950,2105,1999750,950,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,February 2020,2,810,3086,2499660,810,Indore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,February 2020,3,1680,2892,4858560,1680,Indore
