Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1150,1913,2199950,1150,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,540,7037,3799980,540,Jaipur
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,1550,2838,4398900,1550,Jaipur
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,September 2020,3,1086,2906,3155916,1086,Jaipur
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,July 2020,2,1100,3181,3499100,1100,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2019,3,1280,3203,4099840,1280,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,1001,2666,2668666,1001,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,February 2020,2,948,2478,2349144,948,Jaipur
Not Available,Not Available,Available,Not Available,Available,Not Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,1216,3865,4699840,1216,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,November 2020,3,1280,2695,3449600,1280,Jaipur
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,2,589,4405,2594545,589,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,910,4773,4343430,910,Jaipur
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,925,2010,1859250,925,Jaipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,900,2167,1950300,900,Jaipur
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,March 2020,3,860,1744,1499840,860,Jaipur
Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,504,1736,874944,504,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,3,1360,2941,3999760,1360,Jaipur
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,August 2020,2,1197,1844,2207268,1197,Jaipur
Available,Available,Available,Available,Available,Not Available,Available,Available,Under Construction,1,NaN,Resale,NaN,NaN,NaN,December 2020,2,1000,5200,5200000,1000,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,New,NaN,NaN,NaN,October 2020,1,1111,1000,1111000,1111,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,September 2020,3,2000,3250,6500000,2000,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,1137,3354,3813498,1137,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,New,NaN,NaN,NaN,June 2020,3,1300,2692,3499600,1300,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,2,900,13333,11999700,900,Jaipur
Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2019,2,1152,3198,3684096,1152,Jaipur
Available,Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,850,3764,3199400,850,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,950,3157,2999150,950,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,726,2685,1949310,726,Jaipur
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,1,280,4678,1309840,280,Jaipur
Not Available,Not Available,Available,Not Available,Available,Not Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,2,976,3790,3699040,976,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,799,4770,3811230,799,Jaipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,October 2020,2,900,2666,2399400,900,Jaipur
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,920,2021,1859320,920,Jaipur
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,3,1000,2800,2800000,1000,Jaipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,1137,3354,3813498,1137,Jaipur
Available,Available,Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2019,3,843,3202,2699286,843,Jaipur
