Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3266,4899000,Kanpur,1400
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,October 2020,3,1450,4275,6198750,Kanpur,1250
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1000,3100,3100000,Kanpur,950
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1050,2761,2899050,Kanpur,1000
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,2,1100,2636,2899600,Kanpur,1000
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,December 2020,3,1500,3000,4500000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,3,NaN,December 2020,3,1500,5000,7500000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,2nd of 4,NaN,NaN,NaN,NaN,December 2019,3,1570,3630,5699100,Kanpur,1250
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 6,NaN,NaN,NaN,NaN,February 2020,3,1470,4421,6498870,Kanpur,1250
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3266,4899000,Kanpur,1400
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,9th of 12,NaN,NaN,NaN,NaN,December 2020,3,1680,4761,7998480,Kanpur,1500
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,3,4th of 7,NaN,NaN,NaN,NaN,December 2020,4,2200,10227,22499400,Kanpur,2100
Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Under Construction,1,3rd of 3,NaN,NaN,NaN,NaN,December 2019,1,312,3413,1064856,Kanpur,268
Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,3rd of 3,NaN,NaN,NaN,NaN,December 2019,2,481,3376,1623856,Kanpur,406
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,1st of 4,NaN,NaN,NaN,NaN,March 2020,2,1090,3211,3499990,Kanpur,890
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,3rd of 8,NaN,NaN,NaN,NaN,June 2020,3,1535,3322,5099270,Kanpur,1300
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,May 2020,3,1650,5212,8599800,Kanpur,0
Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,3rd of 3,NaN,NaN,NaN,NaN,December 2019,2,578,3389,1958842,Kanpur,499
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,December 2020,2,1050,3238,3399900,Kanpur,1000
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3866,5799000,Kanpur,1400
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,NaN,2,NaN,October 2020,3,1500,3000,4500000,Kanpur,1400
