Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,September 2020,3,1625,4184,6799000,1625,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2020,4,3670,10839,39779130,3670,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,December 2019,3,2349,7237,16999713,2349,Kochin
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,June 2020,1,520,5384,2799680,520,Kochin
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,3,1933,6440,12448520,1933,Kochin
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2020,3,1850,8378,15499300,1850,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,December 2019,4,2362,7239,17098518,2362,Kochin
Available,Available,Available,Available,Available,Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,August 2020,2,820,4756,3899920,820,Kochin
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2020,4,3118,8306,25898108,3118,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,4,NaN,New,NaN,NaN,NaN,December 2019,3,3016,8728,26323648,3016,Kochin
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,7th of 13,NaN,NaN,NaN,NaN,December 2020,3,1980,3282,6498360,1980,Kochin
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,1st of 10,NaN,NaN,NaN,NaN,April 2020,3,1376,4505,6198880,1376,Kochin
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 12,NaN,NaN,NaN,NaN,August 2020,2,1150,4347,4999050,1150,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,10th of 18,NaN,NaN,NaN,NaN,December 2019,3,1500,4133,6199500,1500,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,6th of 13,NaN,NaN,NaN,NaN,February 2020,3,1496,3275,4899400,1496,Kochin
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,3,4th of 14,NaN,NaN,NaN,NaN,March 2020,3,1325,4150,5498750,1325,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 9,NaN,NaN,NaN,NaN,December 2019,2,890,5617,4999130,890,Kochin
Available,Available,Available,Available,Not Available,Available,Available,Available,Under Construction,3,4th of 15,NaN,NaN,NaN,NaN,December 2019,3,1616,6500,10504000,1616,Kochin
Available,Not Available,Available,Available,Available,Not Available,Available,Available,Ready to move,3,12th of 20,NaN,NaN,NaN,NaN,February 2020,3,1799,4168,7498232,1799,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 20,NaN,NaN,NaN,NaN,March 2020,3,1595,4388,6998860,1595,Kochin
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,March 2020,3,1707,3866,6599262,1707,Kochin
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,NaN,NaN,1 rooms(study room),NaN,NaN,December 2020,2,900,4444,3999600,900,Kochin
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,December 2019,2,1020,4117,4199340,1020,Kochin
Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,September 2020,2,1135,3964,4499140,1135,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,6th of 12,NaN,NaN,NaN,NaN,February 2020,3,1825,5041,9199825,1825,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,NaN,1 rooms(pooja room),NaN,NaN,December 2020,2,1250,4400,5500000,1250,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,December 2019,3,1842,7274,13398708,1842,Kochin
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,4,NaN,Resale,NaN,NaN,NaN,June 2020,3,1100,5000,5500000,1100,Kochin
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,1st of 4,NaN,NaN,NaN,NaN,December 2020,3,1189,5746,6831994,1189,Kochin
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,2,7th of 14,NaN,NaN,NaN,NaN,August 2020,2,1233,3568,4399344,1233,Kochin
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,March 2020,3,600,14166,8499600,600,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,15th of 22,NaN,NaN,NaN,NaN,December 2019,3,1852,7019,12999188,1852,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,4,1st of 13,NaN,NaN,NaN,NaN,July 2020,4,2627,6052,15898604,2627,Kochin
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 15,NaN,NaN,NaN,NaN,December 2019,3,1616,6500,10504000,1616,Kochin
Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,1st of 14,NaN,NaN,NaN,NaN,December 2020,3,1450,4827,6999150,1450,Kochin
