Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,335,16716,5599860,335,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,580,6379,3699820,580,Mumbai
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,1025,24487,25099175,1025,Mumbai
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,378,17989,6799842,378,Mumbai
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1245,11807,14699715,1245,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,700,5000,3500000,700,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1100,11363,12499300,1100,Mumbai
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,1,650,3615,2349750,650,Mumbai
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,600,7000,4200000,600,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,December 2020,1,525,4761,2499525,525,Mumbai
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,485,3814,1849790,485,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,Resale,NaN,NaN,No,December 2020,3,1300,16153,20998900,1300,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,850,3952,3359200,850,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,732,19808,14499456,732,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,1,600,15000,9000000,600,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,775,6193,4799575,775,Mumbai
Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,680,4264,2899520,680,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,985,9644,9499340,985,Mumbai
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,450,3111,1399950,450,Mumbai
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,2,760,11578,8799280,760,Mumbai
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1450,25517,36999650,1450,Mumbai
