Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,5th of 7,NaN,NaN,NaN,NaN,December 2020,3,1050,3640,3822000,1050,Patna
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,December 2019,3,1419,4699,6667881,1419,Patna
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,1295,4324,5599580,1295,Patna
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,February 2020,3,1510,5033,7599830,1510,Patna
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 3,NaN,NaN,NaN,NaN,February 2020,3,1220,3442,4199240,1220,Patna
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,February 2020,3,1400,4428,6199200,1400,Patna
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,2nd of 4,NaN,NaN,NaN,NaN,April 2020,3,1176,4350,5115600,1176,Patna
Available,Available,Available,Not Available,Not Available,Available,Available,Available,Under Construction,1,NaN,NaN,NaN,1,NaN,December 2019,2,615,4552,2799480,615,Patna
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,March 2020,2,1000,5000,5000000,1000,Patna
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,8th of 11,NaN,NaN,NaN,NaN,February 2020,2,1152,5381,6198912,1152,Patna
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,8th of 11,NaN,NaN,NaN,NaN,February 2020,3,1449,5866,8499834,1449,Patna
Available,Available,Not Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,2nd of 7,NaN,NaN,NaN,NaN,March 2020,2,1325,2943,3899475,1325,Patna
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,December 2019,3,1530,5226,7995780,1530,Patna
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,4th of 6,NaN,NaN,NaN,NaN,March 2020,3,1397,4581,6399657,1397,Patna
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,December 2019,2,970,4896,4749120,970,Patna
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,March 2020,2,1000,4500,4500000,1000,Patna
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,6th of 6,NaN,NaN,NaN,NaN,February 2020,3,1245,5301,6599745,1245,Patna
Available,Available,Not Available,Available,Not Available,Available,Available,Not Available,Under Construction,1,2nd of 7,NaN,NaN,NaN,NaN,August 2020,2,1025,2536,2599400,1025,Patna
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,Gr of 10,NaN,NaN,NaN,NaN,March 2020,2,1226,3750,4597500,1226,Patna
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,February 2020,3,1675,3800,6365000,1675,Patna
