Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1197,1253,1499841,1197,Surat
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,December 2020,3,1765,4249,7499485,1765,Surat
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,2,850,3647,3099950,850,Surat
Available,Available,Not Available,Available,Available,Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1186,2993,3549698,1186,Surat
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,730,1712,1249760,730,Surat
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,4,NaN,Resale,NaN,NaN,NaN,November 2020,3,2000,5000,10000000,2000,Surat
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,July 2020,2,586,2559,1499574,586,Surat
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,June 2020,2,1180,2245,2649100,1180,Surat
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,717,2956,2119452,717,Surat
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,4,NaN,Resale,NaN,NaN,NaN,November 2020,3,1440,4375,6300000,1440,Surat
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,July 2020,1,629,3497,2199613,629,Surat
Available,Available,Not Available,Available,Available,Available,Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,August 2020,2,1168,2997,3500496,1168,Surat
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,693,3427,2374911,693,Surat
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,4,NaN,Resale,NaN,NaN,NaN,November 2020,3,1900,3421,6499900,1900,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 12,NaN,NaN,NaN,NaN,December 2020,3,1754,4960,8699840,1754,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,12th of 13,NaN,NaN,NaN,NaN,December 2020,3,1609,2901,4667709,1609,Surat
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,1st of 14,NaN,NaN,NaN,NaN,November 2020,2,1173,3691,4329543,1173,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,7th of 13,NaN,NaN,NaN,NaN,November 2020,2,1276,4193,5350268,1276,Surat
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,630,7885,4967550,630,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,11th of 11,NaN,NaN,NaN,NaN,October 2020,2,1227,4074,4998798,1227,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 12,NaN,NaN,NaN,NaN,December 2020,3,1890,3174,5998860,1890,Surat
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,5th of 5,NaN,NaN,NaN,NaN,November 2020,2,1150,3304,3799600,1150,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,5th of 14,NaN,NaN,NaN,NaN,September 2020,3,1956,4907,9598092,1956,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,5th of 12,NaN,NaN,NaN,NaN,December 2019,3,2325,3612,8397900,2325,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 9,NaN,NaN,NaN,NaN,December 2019,3,1950,3846,7499700,1950,Surat
Available,Not Available,Available,Available,Available,Available,Not Available,Available,Ready to move,4,NaN,Resale,NaN,NaN,NaN,November 2020,3,1700,3705,6298500,1700,Surat
Not Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,7th of 13,NaN,NaN,NaN,NaN,October 2020,2,925,3589,3319825,925,Surat
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,11th of 11,NaN,NaN,NaN,NaN,June 2020,2,1227,3911,4798797,1227,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,5th of 12,NaN,NaN,NaN,NaN,February 2020,2,1410,3262,4599420,1410,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 19,NaN,NaN,NaN,NaN,December 2019,2,1173,3878,4548894,1173,Surat
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,4th of 13,NaN,NaN,NaN,NaN,February 2020,2,1195,3598,4299610,1195,Surat
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,1st of 14,NaN,NaN,NaN,NaN,March 2020,3,1422,4922,6999084,1422,Surat
Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Ready to move,3,12th of 13,NaN,NaN,NaN,NaN,December 2019,3,1551,3868,5999268,1551,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,NaN,NaN,"2 rooms(study room, pooja room)",NaN,NaN,October 2020,3,1770,3728,6598560,1770,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 10,NaN,NaN,NaN,NaN,December 2019,2,1172,3321,3892212,1172,Surat
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,5th of 5,NaN,NaN,NaN,NaN,December 2019,3,1163,1934,2249242,1163,Surat
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Under Construction,3,12th of 15,NaN,NaN,NaN,NaN,August 2020,3,2081,4853,10099093,2081,Surat
Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,6th of 14,NaN,NaN,NaN,NaN,December 2019,2,1011,2749,2779239,1011,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,12th of 13,NaN,NaN,NaN,NaN,February 2020,3,2346,3836,8999256,2346,Surat
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,9th of 12,NaN,NaN,NaN,NaN,March 2020,3,1906,3899,7431494,1906,Surat
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,5th of 5,NaN,NaN,NaN,NaN,December 2020,2,1250,2800,3500000,1250,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,3rd of 5,NaN,NaN,NaN,NaN,February 2020,2,1090,2110,2299900,1090,Surat
Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,December 2020,2,1285,3268,4199380,1285,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,3rd of 19,NaN,NaN,NaN,NaN,September 2020,3,2323,4390,10197970,2323,Surat
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,March 2020,2,1075,3069,3299175,1075,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,Gr of 13,NaN,NaN,NaN,NaN,November 2020,3,1630,3282,5349660,1630,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,7th of 11,NaN,NaN,NaN,NaN,December 2020,3,1840,4673,8598320,1840,Surat
Available,Not Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,December 2019,2,1090,1698,1850820,1090,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,December 2020,3,1840,4782,8798880,1840,Surat
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,3,8th of 12,NaN,NaN,NaN,NaN,September 2020,3,1750,3771,6599250,1750,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,8th of 13,NaN,NaN,NaN,NaN,September 2020,3,2759,3986,10997374,2759,Surat
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,8th of 10,NaN,NaN,NaN,NaN,December 2020,2,950,3263,3099850,950,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,5th of 12,NaN,NaN,NaN,NaN,December 2019,3,1805,3490,6299450,1805,Surat
Available,Available,Available,Available,Available,Available,Available,Not Available,Under Construction,2,8th of 13,NaN,NaN,NaN,NaN,December 2020,2,1275,4000,5100000,1275,Surat
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,2,11th of 11,NaN,NaN,NaN,NaN,June 2020,2,1227,3911,4798797,1227,Surat
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,August 2020,2,1305,3325,4339125,1305,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,7th of 11,NaN,NaN,NaN,NaN,December 2019,3,2682,4511,12098502,2682,Surat
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,13th of 13,NaN,NaN,NaN,NaN,October 2020,2,1275,3529,4499475,1275,Surat
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,3,13th of 14,NaN,NaN,NaN,NaN,July 2020,3,1986,3341,6635226,1986,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,7th of 13,NaN,NaN,NaN,NaN,September 2020,3,1800,3539,6370200,1800,Surat
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,2,10th of 15,NaN,NaN,NaN,NaN,February 2020,2,1251,3478,4350978,1251,Surat
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,2,7th of 14,NaN,NaN,NaN,NaN,September 2020,2,1270,3970,5041900,1270,Surat
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,6th of 10,NaN,NaN,NaN,NaN,December 2020,2,1001,2347,2349347,1001,Surat
Available,Available,Not Available,Available,Available,Available,Available,Available,Ready to move,1,6th of 14,NaN,NaN,NaN,NaN,November 2020,1,761,3186,2424546,761,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,6th of 14,NaN,NaN,NaN,NaN,December 2019,4,2560,3710,9497600,2560,Surat
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,1st of 14,NaN,NaN,NaN,NaN,November 2020,2,1263,3682,4650366,1263,Surat
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,443,1180,522740,443,Surat
Available,Available,Available,Available,Available,Available,Available,Not Available,Under Construction,2,1st of 14,NaN,NaN,NaN,NaN,December 2019,3,2335,6100,14243500,2335,Surat
Not Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 8,NaN,NaN,NaN,NaN,December 2020,2,2250,1844,4149000,2250,Surat
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,9th of 9,NaN,NaN,NaN,NaN,December 2019,4,2550,5294,13499700,2550,Surat
