Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1140,3333,3799620,1140,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,December 2020,4,2800,7500,21000000,2800,Visakhapatnam
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1140,3600,4104000,1140,Visakhapatnam
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,2100,3571,7499100,2100,Visakhapatnam
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,July 2020,3,1478,2232,3298896,1478,Visakhapatnam
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,July 2020,4,1800,2500,4500000,1800,Visakhapatnam
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,985,4010,3949850,985,Visakhapatnam
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,October 2020,2,1150,3217,3699550,1150,Visakhapatnam
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,July 2020,2,1000,1500,1500000,1000,Visakhapatnam
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,Resale,NaN,NaN,No,October 2020,3,2500,9200,23000000,2500,Visakhapatnam
Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,September 2020,2,1125,3022,3399750,1125,Visakhapatnam
Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,December 2020,2,1133,2912,3299296,1133,Visakhapatnam
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1500,4333,6499500,1500,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,October 2020,2,1125,2800,3150000,1125,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,December 2019,2,1200,3500,4200000,1200,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,December 2020,3,1180,4000,4720000,1180,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,March 2020,2,1000,3500,3500000,1000,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,December 2019,2,1000,3500,3500000,1000,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,February 2020,3,1350,3000,4050000,1350,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,April 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,April 2020,2,1000,3300,3300000,1000,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,3rd of 5,NaN,NaN,NaN,NaN,December 2019,3,1300,3600,4680000,1300,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,December 2019,2,1102,5500,6061000,1102,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,March 2020,3,1945,3907,7599115,1945,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,February 2020,2,1070,3177,3399390,1070,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 5,NaN,NaN,NaN,NaN,April 2020,2,1090,3770,4109300,1090,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,August 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,December 2019,2,1065,3474,3699810,1065,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,April 2020,2,1080,3333,3599640,1080,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,February 2020,2,1100,3636,3999600,1100,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,March 2020,3,1325,3500,4637500,1325,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,May 2020,2,1045,3349,3499705,1045,Visakhapatnam
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,December 2019,3,1300,3600,4680000,1300,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,3rd of 5,NaN,NaN,NaN,NaN,March 2020,3,1340,3700,4958000,1340,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 5,NaN,NaN,NaN,NaN,March 2020,2,1000,3500,3500000,1000,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,December 2019,2,1025,3343,3426575,1025,Visakhapatnam
