Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,2033,4918,9998294,Dehradun,1135
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,February 2020,3,1600,4062,6499200,Dehradun,0
Available,Available,Available,Available,Available,Not Available,Available,Available,Under Construction,3,4th of 8,NaN,NaN,NaN,NaN,December 2020,3,1881,3774,7098894,Dehradun,1400
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,New,NaN,NaN,NaN,November 2020,3,1900,3684,6999600,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 8,NaN,NaN,NaN,NaN,August 2020,3,1951,4151,8098601,Dehradun,1013
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 6,NaN,NaN,NaN,NaN,December 2019,3,1810,3701,6698810,Dehradun,1500
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,1st of 3,NaN,NaN,NaN,NaN,December 2019,3,1250,5840,7300000,Dehradun,1190
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,1st of 5,NaN,NaN,NaN,NaN,March 2020,2,1593,4080,6499440,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 7,NaN,NaN,NaN,NaN,December 2019,2,1150,3804,4374600,Dehradun,950
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,4th of 8,NaN,NaN,NaN,NaN,February 2020,3,1794,4180,7498920,Dehradun,992
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,March 2020,2,1400,3071,4299400,Dehradun,1200
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,3rd of 3,NaN,NaN,NaN,NaN,February 2020,3,1950,2923,5699850,Dehradun,1700
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 7,NaN,NaN,NaN,NaN,May 2020,2,1480,3600,5328000,Dehradun,1200
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,July 2020,2,1250,2800,3500000,Dehradun,1000
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,5th of 5,NaN,NaN,NaN,NaN,December 2019,1,580,3724,2159920,Dehradun,435
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,February 2020,3,1685,4747,7998695,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,4th of 8,NaN,NaN,NaN,NaN,March 2020,3,1890,5000,9450000,Dehradun,1800
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,5th of 6,NaN,NaN,NaN,NaN,February 2020,2,1075,3906,4198950,Dehradun,900
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,1st of 7,NaN,NaN,NaN,NaN,February 2020,3,1615,3591,5799465,Dehradun,1400
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,2nd of 3,NaN,NaN,NaN,NaN,February 2020,3,1300,4230,5499000,Dehradun,1100
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,4,4th of 6,NaN,NaN,NaN,NaN,December 2019,4,2250,3700,8325000,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,1,Gr of 3,NaN,NaN,NaN,NaN,April 2020,1,532,3176,1689632,Dehradun,320
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 7,NaN,NaN,NaN,NaN,March 2020,2,1100,2000,2200000,Dehradun,800
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,1st of 3,NaN,NaN,NaN,NaN,December 2020,1,650,3230,2099500,Dehradun,550
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,4th of 8,NaN,NaN,NaN,NaN,February 2020,2,1390,3884,5398760,Dehradun,1100
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 2,NaN,NaN,NaN,NaN,March 2020,3,1300,2461,3199300,Dehradun,1200
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,December 2020,2,1390,4200,5838000,Dehradun,0
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,December 2020,2,1350,4444,5999400,Dehradun,1300
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,4,Gr of 2,NaN,NaN,NaN,NaN,December 2020,5,1500,6133,9199500,Dehradun,0
Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,March 2020,3,1800,2722,4899600,Dehradun,1650
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,1st of 6,NaN,NaN,NaN,NaN,December 2019,3,1990,3919,7798810,Dehradun,1550
Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,1st of 3,NaN,NaN,NaN,NaN,December 2019,3,1688,3080,5199040,Dehradun,1308
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,NaN,NaN,NaN,2,NaN,November 2020,3,1500,4000,6000000,Dehradun,1400
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,5th of 6,NaN,NaN,NaN,NaN,December 2020,3,1550,4774,7399700,Dehradun,1348
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,November 2020,2,1050,3619,3799950,Dehradun,735
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,2nd of 3,NaN,NaN,NaN,NaN,December 2020,3,2000,3500,7000000,Dehradun,1600
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,2nd of 5,NaN,NaN,NaN,NaN,July 2020,1,523,5353,2799619,Dehradun,0
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,1,Gr of 5,NaN,NaN,NaN,NaN,October 2020,1,617,5600,3455200,Dehradun,555
