Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,3,1144,1922,2198768,1144,Lucknow
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1180,3305,3899900,1180,Lucknow
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,4,3174,3000,9522000,3174,Lucknow
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,4,3174,3000,9522000,3174,Lucknow
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1680,3000,5040000,1680,Lucknow
Not Available,Available,Not Available,Available,Not Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,645,6110,3940950,645,Lucknow
Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1680,3000,5040000,1680,Lucknow
Not Available,Available,Not Available,Available,Not Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,2,532,6048,3217536,532,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,807,7135,5757945,807,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,807,7135,5757945,807,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,8th of 14,NaN,NaN,NaN,NaN,December 2020,3,1705,3600,6138000,1705,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 12,NaN,NaN,NaN,NaN,December 2020,3,1325,2943,3899475,1325,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 14,NaN,NaN,NaN,NaN,December 2020,2,1330,3400,4522000,1330,Lucknow
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,December 2020,2,1094,4113,4499622,1094,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,4,13th of 24,NaN,NaN,NaN,NaN,December 2020,3,1800,3888,6998400,1800,Lucknow
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Under Construction,3,1st of 7,NaN,NaN,NaN,NaN,November 2020,3,1600,5000,8000000,1600,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,4th of 12,NaN,NaN,NaN,NaN,December 2020,2,890,3595,3199550,890,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 7,NaN,NaN,NaN,NaN,November 2020,2,1000,5000,5000000,1000,Lucknow
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,3,2nd of 8,NaN,NaN,NaN,NaN,November 2020,3,1500,3000,4500000,1500,Lucknow
Not Available,Available,Not Available,Available,Not Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,644,6316,4067504,644,Lucknow
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,3,1st of 14,NaN,NaN,NaN,NaN,November 2020,3,1629,4419,7198551,1629,Lucknow
Available,Available,Available,Available,Not Available,Not Available,Available,Available,Ready to move,2,2nd of 9,NaN,NaN,NaN,NaN,December 2020,2,1368,3691,5049288,1368,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,5,8th of 18,NaN,NaN,NaN,NaN,December 2020,4,2650,3849,10199850,2650,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,12th of 17,NaN,NaN,NaN,NaN,November 2020,3,1575,3492,5499900,1575,Lucknow
Available,Available,Available,Available,Not Available,Available,Available,Available,Under Construction,2,5th of 16,NaN,NaN,NaN,NaN,October 2020,2,1083,3917,4242111,1083,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,4th of 14,NaN,NaN,NaN,NaN,October 2020,2,1100,3454,3799400,1100,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,14th of 18,NaN,NaN,NaN,NaN,October 2020,2,1099,3821,4199279,1099,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,7th of 18,NaN,NaN,NaN,NaN,October 2020,2,1099,3821,4199279,1099,Lucknow
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,4th of 13,NaN,NaN,NaN,NaN,October 2020,3,1488,5040,7499520,1488,Lucknow
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,3,6th of 9,NaN,NaN,NaN,NaN,October 2020,3,1740,3505,6098700,1740,Lucknow
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,1st of 8,NaN,NaN,NaN,NaN,December 2020,3,1580,4556,7198480,1580,Lucknow
