"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Indore&cityId=13&templateId=MAKAAN_CITY_LISTING_BUY","properties in Indore :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/indore/ayushman-developers-ayushman-residency-in-rau-12385626/1bhk-1t-565-sqft-apartment","565 sq ft 1 BHK 1T Apartment for sale at Rs 10.00 lacs in Ayushman Ayushman Residency in Rau, Indore","10LEMI","Posted 5 days ago","1 BHK Apartment - 565 sq ft
Ayushman Ayushman ResidencyRau, Indore","Carpet area
450 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 1,769/ sq ft ","ATM
Lift Available
Jogging Track
Power Backup
Maintenance Staff
Children's play area
Rain Water Harvesting
Club House
Multipurpose Room
Swimming Pool
Hospital
School
Shopping Mall
Landscaped Gardens
Car Parking
Gymnasium
Vaastu Compliant
24 X 7 Security
Sports Facility
Not Available"
"https://www.makaan.com/indore/builder-project-in-mirjapur-12151732/2bhk-1t-950-sqft-apartment","950 sq ft 2 BHK 1T East facing Apartment for sale at Rs 17.90 lacs in Project in Mirjapur, Indore","17.9LEMI","Posted a month ago","2 BHK Apartment - 950 sq ft
Mirjapur, Indore","Carpet area
850 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 1,884/ sq ft ","Children's play area
Power Backup
Lift Available
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/indore/maze-buildcon-the-residence-in-bhicholi-mardana-12231881/4bhk-3000-sqft-apartment","3000 sq ft 4 BHK Apartment for sale at Rs 1.17 crore in Maze The Residence in Bhicholi Mardana, Indore","1.17CrEMI","Posted a month ago","4 BHK Apartment - 3,000 sq ft
Maze The ResidenceBhicholi Mardana, Indore","Status
Ready to move
New/Resale
New
Age of Property
0 - 1 year"," 3,900/ sq ft ","Swimming Pool
Gymnasium
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/indore/k-c-construction-kailash-pride-in-jakhya-11998017/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T Apartment for sale at Rs 56.43 lacs in K C Kailash Pride in Jakhya, Indore","56.43LEMI","Posted 2 months ago","2 BHK Apartment - 1,000 sq ft
K C Kailash PrideJakhya, Indore","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 5,643/ sq ft ","Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/indore/builder-project-in-lasudia-mori-9629826/2bhk-2t-775-sqft-apartment","775 sq ft 2 BHK 2T East facing Apartment for sale at Rs 21.00 lacs in Project in Lasudia Mori, Indore","21LEMI","Posted 9 months ago","2 BHK Apartment - 775 sq ft
Lasudia Mori, Indore","Carpet area
600 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 2,709/ sq ft ","Sports Facility
Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/indore/builder-project-in-roopram-nagar-9551756/1bhk-1t-500-sqft-apartment","500 sq ft 1 BHK 1T East facing Apartment for sale at Rs 12.00 lacs in Project in Roopram Nagar, Indore","12LEMI","Posted 10 months ago","1 BHK Apartment - 500 sq ft
Roopram Nagar, Indore","Carpet area
400 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 2,400/ sq ft ","Sports Facility
Children's play area
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/indore/maze-buildcon-the-residence-in-bhicholi-mardana-12231878/3bhk-1637-sqft-apartment","1637 sq ft 3 BHK Under Construction property Apartment for sale at Rs 63.84 lacs in Maze The Residence in Bhicholi Mardana, Indore","63.84LEMI","Posted a month ago","3 BHK Apartment - 1,637 sq ft
Maze The ResidenceBhicholi Mardana, Indore","Status
Ready to move
New/Resale
New
Age of Property
0 - 1 year"," 3,900/ sq ft ","Swimming Pool
Gymnasium
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/indore/builder-project-in-new-rani-bagh-12151839/2bhk-1t-880-sqft-apartment","880 sq ft 2 BHK 1T East facing Apartment for sale at Rs 15.00 lacs in Project in New Rani Bagh, Indore","15LEMI","Posted a month ago","2 BHK Apartment - 880 sq ft
New Rani Bagh, Indore","Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 1,704/ sq ft ","Children's play area
Power Backup
Lift Available
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/indore/k-c-construction-kailash-pride-in-jakhya-11999701/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T Apartment for sale at Rs 56.43 lacs in K C Kailash Pride in Jakhya, Indore","56.43LEMI","Posted 2 months ago","2 BHK Apartment - 1,000 sq ft
K C Kailash PrideJakhya, Indore","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 5,643/ sq ft ","Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
