Url,Name,price,posteddate,bhk,features,rate,amenities
https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Kochi&cityId=30&templateId=MAKAAN_CITY_LISTING_BUY,properties in Kochi :Makaan.com,NA,NA,NA,NA,NA,NA
https://www.makaan.com/kochi/pranavah-le-royal-annexure-in-thrikkakara-11755908/3bhk-3t-1625-sqft-apartment,"1625 sq ft 3 BHK 3T East facing Apartment for sale at Rs 68.00 lacs in Pranavah Le Royal Annexure in Thrikkakara, Kochi",68LEMI,Posted 3 months ago,"3 BHK Apartment - 1,625 sq ft
Pranavah Le Royal AnnexureThrikkakara, Kochi","Carpet area
1170 sq ft
Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 4,184/ sq ft ","Swimming Pool
Landscaped Gardens
Sports Facility
Lift Available
Indoor Games
Power Backup
Children's play area
Multipurpose Room
Rain Water Harvesting
Intercom
Club House
24 X 7 Security
Car Parking
Gymnasium
Jogging Track
Not Available"
https://www.makaan.com/kochi/sobha-limited-marina-one-in-marine-drive-12420125/4bhk-3t-3670-sqft-apartment,"3670 sq ft 4 BHK 3T East facing Apartment for sale at Rs 3.98 crore in Sobha Marina One in Marine Drive, Kochi",3.97CrEMI,Posted 6 hours ago,"4 BHK Apartment - 3,670 sq ft
Sobha Marina OneMarine Drive, Kochi","Carpet area
2752 sq ft
Status
Under Construction
Bathrooms
3
New/Resale
New"," 10,839/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Intercom
Jogging Track
Indoor Games
Sports Facility
24 X 7 Security
Car Parking
Club House
Children's play area"
https://www.makaan.com/kochi/sobha-limited-isle-in-eroor-9031448/3bhk-3t-2349-sqft-apartment,"2349 sq ft 3 BHK 3T East facing Apartment for sale at Rs 1.70 crore in Sobha Isle in Eroor, Kochi",1.7CrEMI,Posted a year ago,"3 BHK Apartment - 2,349 sq ft
Sobha IsleEroor, Kochi","Status
Ready to move
Bathrooms
3
New/Resale
New"," 7,237/ sq ft ","Swimming Pool
Landscaped Gardens
Sports Facility
Lift Available
Jogging Track
Power Backup
Children's play area
Multipurpose Room
Staff Quarter
Rain Water Harvesting
Intercom
Vaastu Compliant
24 X 7 Security
Car Parking
Gymnasium
Club House"
https://www.makaan.com/kochi/hoysala-projects-nestor-in-kakkanad-11295615/1bhk-1t-520-sqft-apartment,"520 sq ft 1 BHK 1T Apartment for sale at Rs 28.00 lacs in Hoysala Nestor in Kakkanad, Kochi",28LEMI,Posted 6 months ago,"1 BHK Apartment - 520 sq ft
Hoysala NestorKakkanad, Kochi","Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 5,384/ sq ft ","Swimming Pool
Club House
Children's play area
Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Gymnasium
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
https://www.makaan.com/kochi/puravankara-grandbay-in-marine-drive-12127044/3bhk-1933-sqft-apartment,"1933 sq ft 3 BHK Apartment for sale at Rs 1.24 crore in Puravankara Grandbay in Marine Drive, Kochi",1.24CrEMI,Posted a month ago,"3 BHK Apartment - 1,933 sq ft
Puravankara GrandbayMarine Drive, Kochi","Status
Ready to move
New/Resale
New
Age of Property
6 - 7 years"," 6,440/ sq ft ","ATM
Lift Available
Jogging Track
Power Backup
Rain Water Harvesting
Children's play area
Staff Quarter
Club House
Hospital
School
Shopping Mall
Gymnasium
Vaastu Compliant
24 X 7 Security
Car Parking
Swimming Pool
Landscaped Gardens
Not Available
Sports Facility
Not Available"
https://www.makaan.com/kochi/builder-project-in-vyttila-12418844/3bhk-3t-1850-sqft-apartment,"1850 sq ft 3 BHK 3T West facing Apartment for sale at Rs 1.55 crore in Project in vyttila, Kochi",1.55CrEMI,Posted 8 hours ago,"3 BHK Apartment - 1,850 sq ft
vyttila, Kochi","Carpet area
1387 sq ft
Status
Under Construction
Bathrooms
3
New/Resale
New"," 8,378/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
https://www.makaan.com/kochi/sobha-limited-isle-in-eroor-9031355/4bhk-3t-2362-sqft-apartment,"2362 sq ft 4 BHK 3T East facing Pre Launch property Apartment for sale at Rs 1.71 crore in Sobha Isle in Eroor, Kochi",1.71CrEMI,Posted a year ago,"4 BHK Apartment - 2,362 sq ft
Sobha IsleEroor, Kochi","Status
Ready to move
Bathrooms
3
New/Resale
New"," 7,239/ sq ft ","Swimming Pool
Landscaped Gardens
Sports Facility
Lift Available
Jogging Track
Power Backup
Children's play area
Multipurpose Room
Staff Quarter
Rain Water Harvesting
Intercom
Vaastu Compliant
24 X 7 Security
Car Parking
Gymnasium
Club House"
https://www.makaan.com/kochi/shwas-homes-fortuna-in-thripunithura-11467776/2bhk-2t-820-sqft-apartment,"820 sq ft 2 BHK 2T North facing Apartment for sale at Rs 39.00 lacs in Shwas Fortuna in Thripunithura, Kochi",39LEMI,Posted 4 months ago,"2 BHK Apartment - 820 sq ft
Shwas FortunaThripunithura, Kochi","Carpet area
800 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 4,756/ sq ft ","Swimming Pool
Landscaped Gardens
Sports Facility
Lift Available
24 X 7 Security
Rain Water Harvesting
Intercom
Jogging Track
Indoor Games
Children's play area
Power Backup
Gymnasium
Club House"
https://www.makaan.com/kochi/builder-project-in-vyttila-12419388/4bhk-3t-3118-sqft-apartment,"3118 sq ft 4 BHK 3T West facing Apartment for sale at Rs 2.59 crore in Project in vyttila, Kochi",2.59CrEMI,Posted 7 hours ago,"4 BHK Apartment - 3,118 sq ft
vyttila, Kochi","Carpet area
2338 sq ft
Status
Under Construction
Bathrooms
3
New/Resale
New"," 8,306/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
