"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Patna&cityId=44&templateId=MAKAAN_CITY_LISTING_BUY","properties in Patna :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/patna/abhi-homes-amba-tower-in-danapur-9129597/3bhk-2t-1050-sqft-apartment","1050 sq ft 3 BHK 2T SouthEast facing Apartment for sale at Rs 38.22 lacs in Abhi Amba Tower 5th floor in Danapur, Patna","38.22LEMINegotiable","Posted 21 days ago","3 BHK Apartment - 1,050 sq ft
Abhi Amba TowerDanapur, Patna","Status
Under Construction
Floor
5th of 7
Bathrooms
2"," 3,640/ sq ft ","Landscaped Gardens
Lift Available
Intercom
Jogging Track
Swimming Pool
Car Parking
Children's play area
24 X 7 Security
Power Backup
Club House
Not Available
Sports Facility
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/patna/builder-shanti-r-in-saubhagya-sharma-path-8754921/3bhk-2t-1419-sqft-apartment","1419 sq ft 3 BHK 2T SouthWest facing Apartment for sale at Rs 66.69 lacs in shanti R 4th floor in Saubhagya Sharma Path, Patna","66.69LEMI","Posted a year ago","3 BHK Apartment - 1,419 sq ft
shanti RSaubhagya Sharma Path, Patna","Carpet area
1060 sq ft
Status
Ready to move
Floor
4th of 5
Bathrooms
2"," 4,699/ sq ft ","Intercom
Car Parking
Vaastu Compliant
24 X 7 Security
Power Backup
Lift Available
Children's play area
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available
Club House
Not Available"
"https://www.makaan.com/patna/builder-project-in-khagaul-12325402/3bhk-2t-1295-sqft-apartment","1295 sq ft 3 BHK 2T NorthWest facing Apartment for sale at Rs 56.00 lacs in Project in Khagaul, Patna","56LEMI","Posted 3 days ago","3 BHK Apartment - 1,295 sq ft
Khagaul, Patna","Carpet area
850 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 4,324/ sq ft ","Gymnasium
Lift Available
Intercom
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/patna/builder-sahika-realbiz-in-saguna-more-9465336/3bhk-2t-1510-sqft-apartment","1510 sq ft 3 BHK 2T East facing Apartment for sale at Rs 76.00 lacs in Sahika realbiz 1th floor in Saguna More, Patna","76LEMINegotiable","Posted 10 months ago","3 BHK Apartment - 1,510 sq ft
Sahika realbizSaguna More, Patna","Carpet area
1350 sq ft
Status
Ready to move
Floor
1st of 6
Bathrooms
2"," 5,033/ sq ft ","ATM
Lift Available
Maintenance Staff
Hospital
Power Backup
School
Landscaped Gardens
Rain Water Harvesting
Intercom
Children's play area
24 X 7 Security
Car Parking
Vaastu Compliant
Sports Facility
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available"
"https://www.makaan.com/patna/builder-project-in-gola-road-9406636/3bhk-2t-1220-sqft-apartment","1220 sq ft 3 BHK 2T North facing Apartment for sale at Rs 42.00 lacs in Project 2th floor in Gola Road, Patna","42LEMINegotiable","Posted 10 months ago","3 BHK Apartment - 1,220 sq ft
Gola Road, Patna","Carpet area
950 sq ft
Status
Under Construction
Floor
2nd of 3
Bathrooms
2"," 3,442/ sq ft ","Staff Quarter
Rain Water Harvesting
Intercom
Maintenance Staff
Jogging Track
Car Parking
Vaastu Compliant
24 X 7 Security
Power Backup
Lift Available
Landscaped Gardens
Not Available
Club House
Not Available
Gymnasium
Not Available
Children's play area
Not Available
Sports Facility
Not Available
Swimming Pool
Not Available"
"https://www.makaan.com/patna/builder-flat-in-jagdeo-path-9355428/3bhk-2t-1400-sqft-apartment","1400 sq ft 3 BHK 2T South facing Apartment for sale at Rs 62.00 lacs in Flat 4th floor in jagdeo path, Patna","62LEMI","Posted 10 months ago","3 BHK Apartment - 1,400 sq ft
Flatjagdeo path, Patna","Carpet area
1200 sq ft
Status
Ready to move
Floor
4th of 4
Bathrooms
2"," 4,428/ sq ft ","Landscaped Gardens
Lift Available
Car Parking
24 X 7 Security
Power Backup
Children's play area
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Club House
Not Available"
"https://www.makaan.com/patna/builder-swami-apartmnt-in-saguna-danapur-main-road-9895512/3bhk-3t-1176-sqft-apartment","1176 sq ft 3 BHK 3T West facing Apartment for sale at Rs 51.16 lacs in swami apartmnt 2th floor in Saguna Danapur Main Road, Patna","51.15LEMINegotiable","Posted 8 months ago","3 BHK Apartment - 1,176 sq ft
swami apartmntSaguna Danapur Main Road, Patna","Carpet area
987 sq ft
Status
Under Construction
Floor
2nd of 4
Bathrooms
3"," 4,350/ sq ft ","Car Parking
24 X 7 Security
Power Backup
Lift Available
Children's play area
Not Available
Landscaped Gardens
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Club House
Not Available"
"https://www.makaan.com/patna/builder-astha-green-city-in-aiims-patna-road-9078610/2bhk-1t-615-sqft-apartment","615 sq ft 2 BHK 1T Apartment for sale at Rs 28.00 lacs in Astha green city in AIIMS Patna Road, Patna","28LEMINegotiable","Posted a year ago","2 BHK Apartment - 615 sq ft
Astha green cityAIIMS Patna Road, Patna","Carpet area
500 sq ft
Status
Under Construction
Bathrooms
1
Balconies
1"," 4,552/ sq ft ","Shopping Mall
Lift Available
Landscaped Gardens
Intercom
Maintenance Staff
Jogging Track
24 X 7 Security
Car Parking
Club House
Power Backup
Children's play area
Not Available
Swimming Pool
Not Available
Gymnasium
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/patna/builder-project-in-rps-road-9713270/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T East facing Apartment for sale at Rs 50.00 lacs in Project 4th floor in RPS Road, Patna","50LEMINegotiable","Posted 9 months ago","2 BHK Apartment - 1,000 sq ft
RPS Road, Patna","Carpet area
700 sq ft
Status
Ready to move
Floor
4th of 4
Bathrooms
2"," 5,000/ sq ft ","Staff Quarter
Rain Water Harvesting
Maintenance Staff
Jogging Track
Car Parking
Vaastu Compliant
24 X 7 Security
Power Backup
Lift Available
Sports Facility
Not Available
Landscaped Gardens
Not Available
Club House
Not Available
Children's play area
Not Available
Swimming Pool
Not Available
Gymnasium
Not Available"
