"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Bangalore&cityId=2&templateId=MAKAAN_CITY_LISTING_BUY","properties in Bangalore :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/bangalore/builder-project-in-varadharaja-nagar-12386311/2bhk-2t-1010-sqft-apartment","1010 sq ft 2 BHK 2T Apartment for sale at Rs 45.00 lacs in Project in Varadharaja Nagar, Bangalore","45LEMI","Posted 3 days ago","2 BHK Apartment - 1,010 sq ft
Varadharaja Nagar, Bangalore","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 4,455/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bangalore/provident-housing-welworth-city-in-doddaballapur-12385590/3bhk-2t-1200-sqft-apartment","1200 sq ft 3 BHK 2T SouthEast facing Apartment for sale at Rs 45.00 lacs in Provident Welworth City in Doddaballapur, Bangalore","45LEMI","Posted 3 days ago","3 BHK Apartment - 1,200 sq ft
Provident Welworth CityDoddaballapur, Bangalore","Carpet area
1075 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 3,750/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Intercom
Power Backup
Rain Water Harvesting
Children's play area
Staff Quarter
Club House
Multipurpose Room
Swimming Pool
Car Parking
Hospital
School
Shopping Mall
Landscaped Gardens
24 X 7 Security
Sports Facility
Gymnasium
Vaastu Compliant"
"https://www.makaan.com/bangalore/builder-project-in-cv-raman-nagar-12392667/2bhk-2t-1150-sqft-apartment","1150 sq ft 2 BHK 2T Apartment for sale at Rs 60.00 lacs in Project in CV Raman Nagar, Bangalore","60LEMI","Posted 2 days ago","2 BHK Apartment - 1,150 sq ft
CV Raman Nagar, Bangalore","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 5,217/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bangalore/reputed-builder-khb-surya-city-in-bommasandra-12384931/2bhk-2t-690-sqft-apartment","690 sq ft 2 BHK 2T West facing Apartment for sale at Rs 32.00 lacs in Reputed Builder KHB Surya City in Bommasandra, Bangalore","32LEMI","Posted 3 days ago","2 BHK Apartment - 690 sq ft
Reputed Builder KHB Surya CityBommasandra, Bangalore","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 4,637/ sq ft ","Sports Facility
Children's play area
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bangalore/builder-project-in-rr-nagar-12381146/3bhk-2t-1300-sqft-apartment","1300 sq ft 3 BHK 2T North facing Apartment for sale at Rs 69.00 lacs in Project in RR Nagar, Bangalore","69LEMI","Posted a day ago","3 BHK Apartment - 1,300 sq ft
RR Nagar, Bangalore","Carpet area
1000 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 5,307/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bangalore/bhartiya-nikoo-homes-in-kannur-on-thanisandra-main-road-12354322/3bhk-2t-1265-sqft-apartment","1265 sq ft 3 BHK 2T Apartment for sale at Rs 84.00 lacs in Bhartiya Nikoo Homes in Kannur on Thanisandra Main Road, Bangalore","84LEMI","Posted 6 days ago","3 BHK Apartment - 1,265 sq ft
Bhartiya Nikoo HomesKannur on Thanisandra Main Road, Bangalore","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 6,640/ sq ft ","Sports Facility
ATM
Indoor Games
Lift Available
Jogging Track
Power Backup
Intercom
Children's play area
Club House
Landscaped Gardens
Staff Quarter
Rain Water Harvesting
Cafeteria
Gymnasium
Vaastu Compliant
24 X 7 Security
Car Parking
Swimming Pool"
"https://www.makaan.com/bangalore/builder-project-in-sarjapur-12354586/2bhk-2t-1060-sqft-apartment","1060 sq ft 2 BHK 2T East facing Apartment for sale at Rs 30.00 lacs in Project in Sarjapur, Bangalore","30LEMI","Posted 6 days ago","2 BHK Apartment - 1,060 sq ft
Sarjapur, Bangalore","Carpet area
812 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 2,830/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bangalore/havelock-homes-ferndale-in-hebbal-12379272/3bhk-2t-1150-sqft-apartment","1150 sq ft 3 BHK 2T East facing Apartment for sale at Rs 72.00 lacs in Havelock Ferndale in Hebbal, Bangalore","72LEMI","Posted a day ago","3 BHK Apartment - 1,150 sq ft
Havelock FerndaleHebbal, Bangalore","Carpet area
1000 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 6,260/ sq ft ","Rain Water Harvesting
Vaastu Compliant
24 X 7 Security
Lift Available
Landscaped Gardens
Not Available
Club House
Not Available
Power Backup
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Children's play area
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/bangalore/buildafina-group-buildafina-vista-in-bilekahalli-12356024/3bhk-3t-1480-sqft-apartment","1480 sq ft 3 BHK 3T Apartment for sale at Rs 75.00 lacs in Buildafina Buildafina Vista in Bilekahalli, Bangalore","75LEMI","Posted 6 days ago","3 BHK Apartment - 1,480 sq ft
Buildafina Buildafina VistaBilekahalli, Bangalore","Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 5,067/ sq ft ","Rain Water Harvesting
Intercom
Car Parking
Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available
Club House
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/bangalore/sobha-limited-sunscape-in-talaghattapura-12338632/3bhk-2t-1419-sqft-apartment","1419 sq ft 3 BHK 2T East facing Apartment for sale at Rs 61.00 lacs in Sobha Sunscape in Talaghattapura, Bangalore","61LEMI","Posted 9 days ago","3 BHK Apartment - 1,419 sq ft
Sobha SunscapeTalaghattapura, Bangalore","Carpet area
1200 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 4,298/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Rain Water Harvesting
Intercom
Jogging Track
Sports Facility
Car Parking
Club House
Children's play area
24 X 7 Security
Not Available"
"https://www.makaan.com/bangalore/mathapathi-construction-residency-in-cv-raman-nagar-12311719/4bhk-2t-1100-sqft-apartment","1100 sq ft 4 BHK 2T NorthEast facing Apartment for sale at Rs 39.80 lacs in Mathapathi Residency in CV Raman Nagar, Bangalore","39.8LEMI","Posted 12 days ago","4 BHK Apartment - 1,100 sq ft
Mathapathi ResidencyCV Raman Nagar, Bangalore","Carpet area
950 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 3,618/ sq ft ","Intercom
Car Parking
Power Backup
Gymnasium
Not Available
Children's play area
Not Available
Club House
Not Available
Lift Available
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
24 X 7 Security
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bangalore/reputed-builder-shravanti-premiere-apartments-in-uttarahalli-12318482/2bhk-1t-1050-sqft-apartment","1050 sq ft 2 BHK 1T Apartment for sale at Rs 52.00 lacs in Reputed Builder Shravanti Premiere Apartments in Uttarahalli, Bangalore","52LEMI","Posted 12 days ago","2 BHK Apartment - 1,050 sq ft
Reputed Shravanti Premiere ApartmentsUttarahalli, Bangalore","Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 4,952/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
