"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Bhubaneswar&cityId=31&templateId=MAKAAN_CITY_LISTING_BUY","properties in Bhubaneswar :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/bhubaneswar/grand-bazaar-developers-awaas-in-phulnakhara-12335922/2bhk-2t-1225-sqft-apartment","1225 sq ft 2 BHK 2T South facing Under Construction property Apartment for sale at Rs 47.50 lacs in Grand Awaas in Phulnakhara, Bhubaneswar","47.5LEMI","Posted 8 days ago","2 BHK Apartment - 1,225 sq ft
Grand AwaasPhulnakhara, Bhubaneswar","Status
Under Construction
Bathrooms
2
New/Resale
New"," 3,877/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bhubaneswar/grand-bazaar-developers-awaas-in-phulnakhara-12335943/3bhk-2t-1530-sqft-apartment","1530 sq ft 3 BHK 2T South facing Apartment for sale at Rs 61.00 lacs in Grand Awaas in Phulnakhara, Bhubaneswar","61LEMI","Posted 5 days ago","3 BHK Apartment - 1,530 sq ft
Grand AwaasPhulnakhara, Bhubaneswar","Status
Under Construction
Bathrooms
2
New/Resale
New"," 3,986/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bhubaneswar/builder-project-in-tamando-11300723/3bhk-2t-1256-sqft-apartment","1256 sq ft 3 BHK 2T East facing Apartment for sale at Rs 65.00 lacs in Project in Tamando, Bhubaneswar","64.99LEMI","Posted 5 months ago","3 BHK Apartment - 1,256 sq ft
Tamando, Bhubaneswar","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 5,175/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bhubaneswar/avanti-infratech-aurelia-in-nayapalli-12336912/3bhk-2t-1577-sqft-apartment","1577 sq ft 3 BHK 2T North facing Apartment for sale at Rs 96.20 lacs in Aurelia in Nayapalli, Bhubaneswar","96.19LEMI","Posted 8 days ago","3 BHK Apartment - 1,577 sq ft
AureliaNayapalli, Bhubaneswar","Status
Under Construction
Bathrooms
2
New/Resale
New"," 6,100/ sq ft ","Gymnasium
Lift Available
Intercom
Power Backup
Children's play area
24 X 7 Security
Not Available
Club House
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/bhubaneswar/builder-mahima-plaza-in-palasuni-8587036/3bhk-3t-1450-sqft-apartment","1450 sq ft 3 BHK 3T East facing Apartment for sale at Rs 57.00 lacs in Mahima plaza 2th floor in Palasuni, Bhubaneswar","57LEMINegotiable","Posted 5 days ago","3 BHK Apartment - 1,450 sq ft
Mahima plazaPalasuni, Bhubaneswar","Carpet area
1150 sq ft
Status
Under Construction
Floor
2nd of 4
Bathrooms
3"," 3,931/ sq ft ","Landscaped Gardens
Lift Available
Gymnasium
Car Parking
24 X 7 Security
Power Backup
Children's play area
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Club House
Not Available"
"https://www.makaan.com/bhubaneswar/builder-gayatre-enclavepatia-in-patiakalarahanga-road-8872243/3bhk-3t-1424-sqft-apartment","1424 sq ft 3 BHK 3T North facing Apartment for sale at Rs 50.55 lacs in GAYATRE ENCLAVEPATIA 1th floor in PatiaKalarahanga Road, Bhubaneswar","50.55LEMINegotiable","Posted 11 days ago","3 BHK Apartment - 1,424 sq ft
GAYATRE ENCLAVEPATIAPatiaKalarahanga Road, Bhubaneswar","Carpet area
1050 sq ft
Status
Ready to move
Floor
1st of 5
Bathrooms
3"," 3,549/ sq ft ","Gymnasium
Landscaped Gardens
Lift Available
Power Backup
Multipurpose Room
Intercom
24 X 7 Security
Car Parking
Vaastu Compliant
Children's play area
Not Available
Club House
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Swimming Pool
Not Available"
"https://www.makaan.com/bhubaneswar/essen-raj-manohar-residency-in-raghunathpur-7349689/3bhk-3t-1544-sqft-apartment","1544 sq ft 3 BHK 3T East facing Apartment for sale at Rs 58.67 lacs in Essen Raj Manohar Residency 2th floor in Raghunathpur, Bhubaneswar","58.67LEMINegotiable","Posted 5 days ago","3 BHK Apartment - 1,544 sq ft
Essen Raj Manohar ResidencyRaghunathpur, Bhubaneswar","Status
Under Construction
Floor
2nd of 4
Bathrooms
3"," 3,800/ sq ft ","Gymnasium
Landscaped Gardens
Rain Water Harvesting
Jogging Track
Car Parking
Club House
Children's play area
24 X 7 Security
Power Backup
Swimming Pool
Not Available
Sports Facility
Not Available
Lift Available
Not Available"
"https://www.makaan.com/bhubaneswar/builder-dn-fairytale-in-janla-9164337/2bhk-2t-1275-sqft-apartment","1275 sq ft 2 BHK 2T East facing Apartment for sale at Rs 42.06 lacs in DN fairytale 5th floor in Janla, Bhubaneswar","42.06LEMI","Posted a year ago","2 BHK Apartment - 1,275 sq ft
DN fairytaleJanla, Bhubaneswar","Carpet area
1084 sq ft
Status
Under Construction
Floor
5th of 14
Bathrooms
2"," 3,299/ sq ft ","Jogging Track
ATM
Maintenance Staff
Lift Available
Intercom
Power Backup
Golf Course
Children's play area
Cafeteria
Club House
Rain Water Harvesting
Swimming Pool
Staff Quarter
Indoor Games
24 X 7 Security
School
Shopping Mall
Landscaped Gardens
Multipurpose Room
Vaastu Compliant
Car Parking
Sports Facility
Gymnasium"
"https://www.makaan.com/bhubaneswar/builder-nirmalaya-enclave-kalinga-vihar-in-kalinga-vihar-road-9404307/2bhk-2t-1336-sqft-apartment","1336 sq ft 2 BHK 2T NorthWest facing Apartment for sale at Rs 50.00 lacs in NIRMALAYA ENCLAVE KALINGA VIHAR 2th floor in Kalinga Vihar Road, Bhubaneswar","50LEMI","Posted 10 months ago","2 BHK Apartment - 1,336 sq ft
NIRMALAYA ENCLAVE KALINGA VIHARKalinga Vihar Road, Bhubaneswar","Status
Under Construction
Floor
2nd of 4
Bathrooms
2"," 3,742/ sq ft ","Landscaped Gardens
Lift Available
Car Parking
24 X 7 Security
Power Backup
Children's play area
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Club House
Not Available"
