"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Chandigarh&cityId=24&templateId=MAKAAN_CITY_LISTING_BUY","properties in Chandigarh :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/chandigarh/builder-project-in-dhakoli-12246792/3bhk-3t-1600-sqft-apartment","1600 sq ft 3 BHK 3T East facing Apartment for sale at Rs 45.00 lacs in Project in Dhakoli, Chandigarh","45LEMI","Posted 24 days ago","3 BHK Apartment - 1,600 sq ft
Dhakoli, Chandigarh","Carpet area
1200 sq ft
Status
Ready to move
Bathrooms
3
New/Resale
New"," 2,812/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chandigarh/builder-project-in-yadagirigutta-12392429/3bhk-3t-2500-sqft-apartment","2500 sq ft 3 BHK 3T East facing Apartment for sale at Rs 1.40 crore in Project in Yadagirigutta, Chandigarh","1.4CrEMI","Posted 4 days ago","3 BHK Apartment - 2,500 sq ft
Yadagirigutta, Chandigarh","Status
Ready to move
Bathrooms
3
New/Resale
New"," 5,600/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chandigarh/builder-project-in-sunny-enclave-12351798/3bhk-1350-sqft-apartment","1350 sq ft 3 BHK Apartment for sale at Rs 29.90 lacs in Project in Sunny Enclave, Chandigarh","29.9LEMI","Posted 9 days ago","3 BHK Apartment - 1,350 sq ft
Sunny Enclave, Chandigarh","Carpet area
1300 sq ft
Status
Ready to move
New/Resale
Resale
Price Negotiable
No"," 2,214/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chandigarh/builder-project-in-badal-colony-12048634/3bhk-3t-1500-sqft-apartment","1500 sq ft 3 BHK 3T Apartment for sale at Rs 45.00 lacs in Project in Badal Colony, Chandigarh","45LEMI","Posted 2 months ago","3 BHK Apartment - 1,500 sq ft
Badal Colony, Chandigarh","Status
Ready to move
Bathrooms
3
New/Resale
New"," 3,000/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chandigarh/builder-project-in-chandigarh-airport-area-12215559/4bhk-4t-2250-sqft-apartment","2250 sq ft 4 BHK 4T NorthEast facing Apartment for sale at Rs 100.00 lacs in Project in Chandigarh Airport Area, Chandigarh","1CrEMI","Posted a month ago","4 BHK Apartment - 2,250 sq ft
Chandigarh Airport Area, Chandigarh","Carpet area
2200 sq ft
Status
Under Construction
Bathrooms
4
New/Resale
New"," 4,444/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chandigarh/reputed-builder-modern-housing-complex-in-manimajra-11999859/3bhk-3t-1560-sqft-apartment","1560 sq ft 3 BHK 3T Apartment for sale at Rs 1.10 crore in Reputed Builder Modern Housing Complex in Manimajra, Chandigarh","1.1CrEMI","Posted 2 months ago","3 BHK Apartment - 1,560 sq ft
Reputed Modern Housing ComplexManimajra, Chandigarh","Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 7,051/ sq ft ","Rain Water Harvesting
Car Parking
Children's play area
Landscaped Gardens
Lift Available
Not Available
Club House
Not Available
Power Backup
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
24 X 7 Security
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/chandigarh/builder-project-in-chandigarh-airport-area-12373597/3bhk-3t-1800-sqft-apartment","1800 sq ft 3 BHK 3T North facing Apartment for sale at Rs 57.90 lacs in Project in Chandigarh Airport Area, Chandigarh","57.9LEMI","Posted 5 days ago","3 BHK Apartment - 1,800 sq ft
Chandigarh Airport Area, Chandigarh","Carpet area
1700 sq ft
Status
Ready to move
Bathrooms
3
New/Resale
New"," 3,216/ sq ft ","Sports Facility
Gymnasium
Club House
Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chandigarh/builder-project-in-sector-20-12307485/2bhk-2t-800-sqft-apartment","800 sq ft 2 BHK 2T North facing Apartment for sale at Rs 26.00 lacs in Project in Sector 20, Chandigarh","26LEMI","Posted 16 days ago","2 BHK Apartment - 800 sq ft
Sector 20, Chandigarh","Carpet area
700 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 3,250/ sq ft ","Intercom
Sports Facility
Power Backup
Children's play area
Gymnasium
Not Available
24 X 7 Security
Not Available
Swimming Pool
Not Available
Lift Available
Not Available
Jogging Track
Not Available
Club House
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chandigarh/builder-project-in-sunny-enclave-11983353/2bhk-2t-1250-sqft-apartment","1250 sq ft 2 BHK 2T East facing Apartment for sale at Rs 25.90 lacs in Project in Sunny Enclave, Chandigarh","25.9LEMI","Posted 2 months ago","2 BHK Apartment - 1,250 sq ft
Sunny Enclave, Chandigarh","Carpet area
1190 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 2,072/ sq ft ","Children's play area
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
