"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Chennai&cityId=5&templateId=MAKAAN_CITY_LISTING_BUY","properties in Chennai :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/chennai/vgn-projects-estates-stafford-in-thirumullaivoyal-12398997/3bhk-3t-1541-sqft-apartment","1541 sq ft 3 BHK 3T Apartment for sale at Rs 85.00 lacs in VGN Stafford in Thirumullaivoyal, Chennai","85LEMI","Posted 2 days ago","3 BHK Apartment - 1,541 sq ft
VGN StaffordThirumullaivoyal, Chennai","Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 5,515/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chennai/ozone-group-greens-in-medavakkam-12411532/2bhk-2t-1489-sqft-apartment","1489 sq ft 2 BHK 2T Apartment for sale at Rs 70.00 lacs in Ozone Group Greens in Medavakkam, Chennai","70LEMI","Posted 21 hours ago","2 BHK Apartment - 1,489 sq ft
Ozone GreensMedavakkam, Chennai","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 4,701/ sq ft ","Swimming Pool
ATM
Lift Available
Power Backup
Indoor Games
Children's play area
Jogging Track
Club House
Landscaped Gardens
Staff Quarter
Rain Water Harvesting
Cafeteria
Gymnasium
Vaastu Compliant
24 X 7 Security
Car Parking
Sports Facility
Not Available"
"https://www.makaan.com/chennai/builder-project-in-kodambakkam-12357646/2bhk-1t-900-sqft-apartment","900 sq ft 2 BHK 1T North facing Apartment for sale at Rs 59.00 lacs in Project in Kodambakkam, Chennai","59LEMI","Posted 7 days ago","2 BHK Apartment - 900 sq ft
Kodambakkam, Chennai","Carpet area
710 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 6,555/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chennai/prince-foundations-village-in-tondiarpet-12398625/2bhk-2t-790-sqft-apartment","790 sq ft 2 BHK 2T NorthWest facing Apartment for sale at Rs 58.00 lacs in Prince Village in Tondiarpet, Chennai","58LEMI","Posted 16 hours ago","2 BHK Apartment - 790 sq ft
Prince VillageTondiarpet, Chennai","Carpet area
700 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 7,341/ sq ft ","Gymnasium
Landscaped Gardens
24 X 7 Security
Multipurpose Room
Lift Available
Rain Water Harvesting
Jogging Track
Indoor Games
Sports Facility
Children's play area
Car Parking
Club House
Vaastu Compliant
Power Backup
Not Available
Swimming Pool
Not Available"
"https://www.makaan.com/chennai/builder-project-in-medavakkam-12356268/3bhk-3t-1030-sqft-apartment","1030 sq ft 3 BHK 3T Apartment for sale at Rs 65.00 lacs in Project in Medavakkam, Chennai","65LEMI","Posted 6 days ago","3 BHK Apartment - 1,030 sq ft
Medavakkam, Chennai","Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 6,310/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chennai/builder-project-in-semmancheri-12338635/2bhk-2t-885-sqft-apartment","885 sq ft 2 BHK 2T Apartment for sale at Rs 40.00 lacs in Project in Semmancheri, Chennai","40LEMI","Posted 11 days ago","2 BHK Apartment - 885 sq ft
Semmancheri, Chennai","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 4,519/ sq ft ","Sports Facility
Swimming Pool
Gymnasium
Club House
Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chennai/builder-project-in-madhavaram-12356506/3bhk-3t-1750-sqft-apartment","1750 sq ft 3 BHK 3T Apartment for sale at Rs 95.00 lacs in Project in Madhavaram, Chennai","95LEMI","Posted 5 days ago","3 BHK Apartment - 1,750 sq ft
Madhavaram, Chennai","Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 5,428/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chennai/builder-project-in-koyambedu-12332587/2bhk-2t-823-sqft-apartment","823 sq ft 2 BHK 2T North facing Apartment for sale at Rs 77.00 lacs in Project in Koyambedu, Chennai","77LEMI","Posted 10 days ago","2 BHK Apartment - 823 sq ft
Koyambedu, Chennai","Carpet area
675 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 9,356/ sq ft ","Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/chennai/builder-project-in-kelambakkam-12332650/2bhk-2t-1028-sqft-apartment","1028 sq ft 2 BHK 2T Apartment for sale at Rs 41.00 lacs in Project in Kelambakkam, Chennai","41LEMI","Posted 7 days ago","2 BHK Apartment - 1,028 sq ft
Kelambakkam, Chennai","Carpet area
890 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 3,988/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
