"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Coimbatore&cityId=26&templateId=MAKAAN_CITY_LISTING_BUY","properties in Coimbatore :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/coimbatore/casagrand-builder-aqua-in-kuniamuthur-11803542/4bhk-2276-sqft-apartment","2276 sq ft 4 BHK Apartment for sale at Rs 1.12 crore in Casagrand Aqua in Kuniamuthur, Coimbatore","1.12CrEMI","Posted 3 months ago","4 BHK Apartment - 2,276 sq ft
Casagrand AquaKuniamuthur, Coimbatore","Status
Ready to move
New/Resale
New
Age of Property
0 - 1 year"," 4,920/ sq ft ","Rain Water Harvesting
Jogging Track
Indoor Games
Swimming Pool
Power Backup
Club House
Vaastu Compliant
Children's play area
Gymnasium
24 X 7 Security
Not Available
Lift Available
Not Available
Sports Facility
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-hosur-municipality-11525579/2bhk-2t-870-sqft-apartment","870 sq ft 2 BHK 2T East facing Apartment for sale at Rs 24.36 lacs in Project in Hosur Municipality, Coimbatore","24.36LEMI","Posted 4 months ago","2 BHK Apartment - 870 sq ft
Hosur Municipality, Coimbatore","Carpet area
870 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 2,800/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/casagrand-builder-cosmos-in-mettupalayam-12364804/3bhk-1636-sqft-apartment","1636 sq ft 3 BHK Apartment for sale at Rs 70.30 lacs in Casagrand Cosmos in Mettupalayam, Coimbatore","70.29LEMI","Posted 7 days ago","3 BHK Apartment - 1,636 sq ft
Casagrand CosmosMettupalayam, Coimbatore","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 4,297/ sq ft ","Landscaped Gardens
Lift Available
Rain Water Harvesting
Intercom
Jogging Track
Children's play area
Power Backup
Club House
Vaastu Compliant
Swimming Pool
Sports Facility
Not Available
24 X 7 Security
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-hosur-municipality-9711061/2bhk-2t-1140-sqft-apartment","1140 sq ft 2 BHK 2T Apartment for sale at Rs 47.00 lacs in Project in Hosur Municipality, Coimbatore","47LEMI","Posted 9 months ago","2 BHK Apartment - 1,140 sq ft
Hosur Municipality, Coimbatore","Carpet area
1100 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 4,122/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/casagrand-builder-nextown-in-villankurichi-12385005/1bhk-625-sqft-apartment","625 sq ft 1 BHK Apartment for sale at Rs 24.69 lacs in Casagrand Nextown in Villankurichi, Coimbatore","24.68LEMI","Posted 5 days ago","1 BHK Apartment - 625 sq ft
Casagrand NextownVillankurichi, Coimbatore","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 3,950/ sq ft ","Swimming Pool
Landscaped Gardens
Multipurpose Room
Intercom
Jogging Track
Indoor Games
Children's play area
Gymnasium
Club House
Vaastu Compliant
Sports Facility
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Lift Available
Not Available"
"https://www.makaan.com/coimbatore/provident-housing-green-park-in-selvapuram-12346600/2bhk-2t-886-sqft-apartment","886 sq ft 2 BHK 2T West facing Apartment for sale at Rs 43.00 lacs in Provident Green Park in Selvapuram, Coimbatore","43LEMI","Posted 9 days ago","2 BHK Apartment - 886 sq ft
Provident Green ParkSelvapuram, Coimbatore","Carpet area
664 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 4,853/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Intercom
Power Backup
Staff Quarter
Children's play area
Multipurpose Room
Gymnasium
Sports Facility
Hospital
School
Shopping Mall
Landscaped Gardens
Car Parking
Swimming Pool
Club House
24 X 7 Security"
"https://www.makaan.com/coimbatore/builder-project-in-madurapakkam-12177866/2bhk-2t-1069-sqft-apartment","1069 sq ft 2 BHK 2T East facing Apartment for sale at Rs 40.00 lacs in Project in Madurapakkam, Coimbatore","40LEMI","Posted a month ago","2 BHK Apartment - 1,069 sq ft
Madurapakkam, Coimbatore","Carpet area
770 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 3,741/ sq ft ","Gymnasium
Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Club House
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-madurapakkam-12012155/3bhk-2t-1315-sqft-apartment","1315 sq ft 3 BHK 2T Apartment for sale at Rs 55.00 lacs in Project in Madurapakkam, Coimbatore","55LEMI","Posted 2 months ago","3 BHK Apartment - 1,315 sq ft
Madurapakkam, Coimbatore","Status
Ready to move
Bathrooms
2
New/Resale
New"," 4,182/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/c-m-build-aristo-in-narasimhanaickenpalayam-12000329/2bhk-2t-1071-sqft-apartment","1071 sq ft 2 BHK 2T East facing Apartment for sale at Rs 42.00 lacs in C M Aristo in Narasimhanaickenpalayam, Coimbatore","42LEMI","Posted 2 months ago","2 BHK Apartment - 1,071 sq ft
C M AristoNarasimhanaickenpalayam, Coimbatore","Carpet area
950 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 3,921/ sq ft ","Gymnasium
Lift Available
Intercom
Power Backup
Children's play area
24 X 7 Security
Not Available
Club House
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-gopalapuram-11694154/4bhk-4t-3446-sqft-apartment","3446 sq ft 4 BHK 4T East facing Apartment for sale at Rs 4.38 crore in Project in Gopalapuram, Coimbatore","4.38CrEMI","Posted 3 months ago","4 BHK Apartment - 3,446 sq ft
Gopalapuram, Coimbatore","Status
Ready to move
Bathrooms
4
New/Resale
New"," 12,710/ sq ft ","Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-ramanathapuram-11282589/3bhk-3t-2240-sqft-apartment","2240 sq ft 3 BHK 3T East facing Apartment for sale at Rs 1.79 crore in Project in Ramanathapuram, Coimbatore","1.78CrEMI","Posted 5 months ago","3 BHK Apartment - 2,240 sq ft
Ramanathapuram, Coimbatore","Status
Ready to move
Bathrooms
3
New/Resale
New"," 7,991/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/provident-housing-green-park-in-selvapuram-12127030/1bhk-542-sqft-apartment","542 sq ft 1 BHK Apartment for sale at Rs 25.41 lacs in Provident Green Park in Selvapuram, Coimbatore","25.41LEMI","Posted a month ago","1 BHK Apartment - 542 sq ft
Provident Green ParkSelvapuram, Coimbatore","Status
Ready to move
New/Resale
New
Age of Property
2 years"," 4,688/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Staff Quarter
Power Backup
Multipurpose Room
Children's play area
Gymnasium
Hospital
School
Shopping Mall
Landscaped Gardens
Swimming Pool
Club House
24 X 7 Security
Car Parking
Sports Facility
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-hosur-municipality-9766619/1bhk-2t-900-sqft-apartment","900 sq ft 1 BHK 2T South facing Apartment for sale at Rs 30.00 lacs in Project in Hosur Municipality, Coimbatore","30LEMI","Posted 9 months ago","1 BHK Apartment - 900 sq ft
Hosur Municipality, Coimbatore","Carpet area
630 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
New"," 3,333/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-hosur-municipality-9844475/3bhk-3t-1500-sqft-apartment","1500 sq ft 3 BHK 3T East facing Apartment for sale at Rs 1.10 crore in Project in Hosur Municipality, Coimbatore","1.1CrEMI","Posted 9 months ago","3 BHK Apartment - 1,500 sq ft
Hosur Municipality, Coimbatore","Carpet area
1350 sq ft
Status
Ready to move
Bathrooms
3
New/Resale
New"," 7,333/ sq ft ","Intercom
Sports Facility
Power Backup
Lift Available
Club House
Not Available
Landscaped Gardens
Not Available
Swimming Pool
Not Available
24 X 7 Security
Not Available
Jogging Track
Not Available
Children's play area
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/coimbatore/puravankara-bluemont-in-singanallur-11764029/3bhk-1676-sqft-apartment","1676 sq ft 3 BHK Apartment for sale at Rs 96.99 lacs in Puravankara Bluemont in Singanallur, Coimbatore","96.99LEMI","Posted 3 months ago","3 BHK Apartment - 1,676 sq ft
Puravankara BluemontSinganallur, Coimbatore","Status
Ready to move
New/Resale
New
Age of Property
5 years"," 5,786/ sq ft ","Jogging Track
ATM
Intercom
Lift Available
Rain Water Harvesting
Power Backup
Staff Quarter
Children's play area
Multipurpose Room
Club House
Swimming Pool
Hospital
School
Shopping Mall
Gymnasium
Vaastu Compliant
24 X 7 Security
Car Parking
Sports Facility
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/casagrand-builder-nextown-in-villankurichi-9602126/1bhk-625-sqft-apartment","625 sq ft 1 BHK Apartment for sale at Rs 22.66 lacs in Casagrand Nextown in Villankurichi, Coimbatore","22.65LEMI","Posted 9 months ago","1 BHK Apartment - 625 sq ft
Casagrand NextownVillankurichi, Coimbatore","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 3,625/ sq ft ","Swimming Pool
Landscaped Gardens
Multipurpose Room
Intercom
Jogging Track
Indoor Games
Children's play area
Gymnasium
Club House
Vaastu Compliant
Sports Facility
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Lift Available
Not Available"
"https://www.makaan.com/coimbatore/provident-housing-green-park-in-selvapuram-12411445/2bhk-2t-1049-sqft-apartment","1049 sq ft 2 BHK 2T Apartment for sale at Rs 25.00 lacs in Provident Green Park in Selvapuram, Coimbatore","25LEMI","Posted 21 hours ago","2 BHK Apartment - 1,049 sq ft
Provident Green ParkSelvapuram, Coimbatore","Carpet area
787 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 2,383/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Staff Quarter
Power Backup
Multipurpose Room
Children's play area
Gymnasium
Hospital
School
Shopping Mall
Landscaped Gardens
Swimming Pool
Club House
24 X 7 Security
Car Parking
Sports Facility
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-madurapakkam-12146612/3bhk-2t-1253-sqft-apartment","1253 sq ft 3 BHK 2T West facing Apartment for sale at Rs 55.00 lacs in Project in Madurapakkam, Coimbatore","55LEMI","Posted a month ago","3 BHK Apartment - 1,253 sq ft
Madurapakkam, Coimbatore","Carpet area
902 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
New"," 4,389/ sq ft ","Gymnasium
Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/provident-housing-green-park-in-selvapuram-12346394/1bhk-1t-542-sqft-apartment","542 sq ft 1 BHK 1T East facing Apartment for sale at Rs 26.00 lacs in Provident Green Park in Selvapuram, Coimbatore","26LEMI","Posted 9 days ago","1 BHK Apartment - 542 sq ft
Provident Green ParkSelvapuram, Coimbatore","Carpet area
406 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
New"," 4,797/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Intercom
Power Backup
Staff Quarter
Children's play area
Multipurpose Room
Gymnasium
Sports Facility
Hospital
School
Shopping Mall
Landscaped Gardens
Car Parking
Swimming Pool
Club House
24 X 7 Security"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Coimbatore&cityId=26&templateId=MAKAAN_CITY_LISTING_BUY&page=2","properties in Coimbatore :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Coimbatore&cityId=26&templateId=MAKAAN_CITY_LISTING_BUY&page=3","properties in Coimbatore :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/coimbatore/casagrand-builder-nextown-in-villankurichi-12385000/2bhk-853-sqft-apartment","853 sq ft 2 BHK Under Construction property Apartment for sale at Rs 33.13 lacs in Casagrand Nextown in Villankurichi, Coimbatore","33.13LEMI","Posted 5 days ago","2 BHK Apartment - 853 sq ft
Casagrand NextownVillankurichi, Coimbatore","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 3,884/ sq ft ","Swimming Pool
Landscaped Gardens
Multipurpose Room
Intercom
Jogging Track
Indoor Games
Children's play area
Gymnasium
Club House
Vaastu Compliant
Sports Facility
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Lift Available
Not Available"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Coimbatore&cityId=26&templateId=MAKAAN_CITY_LISTING_BUY&page=4","properties in Coimbatore :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/coimbatore/casagrand-builder-nextown-in-villankurichi-12384991/2bhk-891-sqft-apartment","891 sq ft 2 BHK Under Construction property Apartment for sale at Rs 35.19 lacs in Casagrand Nextown in Villankurichi, Coimbatore","35.18LEMI","Posted 5 days ago","2 BHK Apartment - 891 sq ft
Casagrand NextownVillankurichi, Coimbatore","Carpet area
577 sq ft
Status
Under Construction
New/Resale
New
Price Negotiable
No"," 3,949/ sq ft ","Swimming Pool
Landscaped Gardens
Multipurpose Room
Intercom
Jogging Track
Indoor Games
Children's play area
Gymnasium
Club House
Vaastu Compliant
Sports Facility
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Lift Available
Not Available"
"https://www.makaan.com/coimbatore/builder-project-in-tatabad-6733017/4bhk-4t-2650-sqft-apartment","2650 sq ft 4 BHK 4T South facing Apartment for sale at Rs 100.00 lacs in Project in Tatabad, Coimbatore","1CrEMI","Posted 6 months ago","4 BHK Apartment - 2,650 sq ft
Tatabad, Coimbatore","Carpet area
2200 sq ft
Status
Ready to move
Bathrooms
4
New/Resale
Resale"," 3,773/ sq ft ","Gymnasium
Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Club House
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/coimbatore/sowparnika-projects-spandan-in-gn-mills-11725138/2bhk-2t-738-sqft-apartment","738 sq ft 2 BHK 2T Under Construction property Apartment for sale at Rs 30.00 lacs in Sowparnika Spandan in GN Mills, Coimbatore","30LEMI","Posted 3 months ago","2 BHK Apartment - 738 sq ft
Sowparnika SpandanGN Mills, Coimbatore","Carpet area
553 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
New"," 4,065/ sq ft ","Rain Water Harvesting
Intercom
Jogging Track
Power Backup
Children's play area
24 X 7 Security
Landscaped Gardens
Sports Facility
Not Available
Club House
Not Available
Gymnasium
Not Available
Lift Available
Not Available
Swimming Pool
Not Available"
