"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Dehradun&cityId=37&templateId=MAKAAN_CITY_LISTING_BUY","properties in Dehradun :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/dehradun/builder-project-in-vasant-vihar-phase-i-12184873/3bhk-3t-2033-sqft-apartment","2033 sq ft 3 BHK 3T SouthWest facing Apartment for sale at Rs 100.00 lacs in Project in Vasant Vihar Phase I, Dehradun","1CrEMI","Posted a month ago","3 BHK Apartment - 2,033 sq ft
Vasant Vihar Phase I, Dehradun","Carpet area
1135 sq ft
Status
Under Construction
Bathrooms
3
New/Resale
Resale"," 4,918/ sq ft ","Intercom
Power Backup
Children's play area
Lift Available
Club House
Not Available
24 X 7 Security
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/dehradun/grah-avas-vikas-gav-green-view-blossom-in-aman-vihar-9391111/3bhk-2t-1600-sqft-apartment","1600 sq ft 3 BHK 2T West facing Apartment for sale at Rs 65.00 lacs in Grah GAV Green View Blossom 2th floor in Aman Vihar, Dehradun","65LEMINegotiable","Posted 10 months ago","3 BHK Apartment - 1,600 sq ft
Grah GAV Green View BlossomAman Vihar, Dehradun","Status
Ready to move
Floor
2nd of 8
Bathrooms
2"," 4,062/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Maintenance Staff
Power Backup
Intercom
Children's play area
Staff Quarter
Club House
Swimming Pool
Hospital
School
Shopping Mall
Landscaped Gardens
Gymnasium
Vaastu Compliant
24 X 7 Security
Car Parking
Sports Facility
Not Available"
"https://www.makaan.com/dehradun/builder-orchid-greens-in-gms-road-9175659/3bhk-3t-1881-sqft-apartment","1881 sq ft 3 BHK 3T East facing Apartment for sale at Rs 71.00 lacs in orchid greens 4th floor in GMS Road, Dehradun","71LEMINegotiable","Posted 12 days ago","3 BHK Apartment - 1,881 sq ft
orchid greensGMS Road, Dehradun","Carpet area
1400 sq ft
Status
Under Construction
Floor
4th of 8
Bathrooms
3"," 3,774/ sq ft ","ATM
Lift Available
Indoor Games
Power Backup
Jogging Track
Children's play area
Maintenance Staff
Club House
Hospital
School
Shopping Mall
Car Parking
Gymnasium
Vaastu Compliant
24 X 7 Security
Intercom
Landscaped Gardens
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/dehradun/pacific-development-corporation-ltd-golf-estate-in-kulhan-9785917/3bhk-3t-1900-sqft-apartment","1900 sq ft 3 BHK 3T Apartment for sale at Rs 70.00 lacs in Pacific Golf Estate in Kulhan, Dehradun","70LEMINegotiable","Posted a month ago","3 BHK Apartment - 1,900 sq ft
Pacific Golf EstateKulhan, Dehradun","Status
Ready to move
Bathrooms
3
New/Resale
New"," 3,684/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Golf Course
Intercom
Jogging Track
24 X 7 Security
Car Parking
Club House
Children's play area
Sports Facility
Not Available"
"https://www.makaan.com/dehradun/builder-mdda-approved-3-bhk-ready-to-move-flats-in-dehradun-in-gms-road-9655675/3bhk-3t-1951-sqft-apartment","1951 sq ft 3 BHK 3T SouthWest facing Apartment for sale at Rs 81.00 lacs in MDDA Approved 3 bhk Ready to move flats in Dehradun 3th floor in GMS Road, Dehradun","81LEMINegotiable","Posted 4 months ago","3 BHK Apartment - 1,951 sq ft
MDDA Approved 3 bhk Ready to move flats in DehradunGMS Road, Dehradun","Carpet area
1013 sq ft
Status
Ready to move
Floor
3rd of 8
Bathrooms
3"," 4,151/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Maintenance Staff
Power Backup
Intercom
Children's play area
Golf Course
Club House
Cafeteria
Swimming Pool
Car Parking
Shopping Mall
Landscaped Gardens
Multipurpose Room
Rain Water Harvesting
24 X 7 Security
Sports Facility
Gymnasium
Vaastu Compliant"
"https://www.makaan.com/dehradun/grah-avas-vikas-gav-green-view-blossom-in-aman-vihar-9144666/3bhk-3t-1810-sqft-apartment","1810 sq ft 3 BHK 3T East facing Under Construction property Apartment for sale at Rs 67.00 lacs in Grah GAV Green View Blossom 2th floor in Aman Vihar, Dehradun","67LEMINegotiable","Posted a year ago","3 BHK Apartment - 1,810 sq ft
Grah GAV Green View BlossomAman Vihar, Dehradun","Carpet area
1500 sq ft
Status
Ready to move
Floor
2nd of 6
Bathrooms
3"," 3,701/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Maintenance Staff
Power Backup
Intercom
Children's play area
Cafeteria
Club House
Staff Quarter
Swimming Pool
Car Parking
Hospital
School
Shopping Mall
Landscaped Gardens
24 X 7 Security
Sports Facility
Gymnasium
Vaastu Compliant"
"https://www.makaan.com/dehradun/builder-ss-apartments-in-engineers-enclave-9078553/3bhk-2t-1250-sqft-apartment","1250 sq ft 3 BHK 2T South facing Apartment for sale at Rs 73.00 lacs in SS Apartments 1th floor in Engineers Enclave, Dehradun","73LEMINegotiable","Posted a year ago","3 BHK Apartment - 1,250 sq ft
SS ApartmentsEngineers Enclave, Dehradun","Carpet area
1190 sq ft
Status
Under Construction
Floor
1st of 3
Bathrooms
2"," 5,840/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/dehradun/builder-project-in-sudhowala-9566764/2bhk-3t-1593-sqft-apartment","1593 sq ft 2 BHK 3T East facing Apartment for sale at Rs 65.00 lacs in Project 1th floor in Sudhowala, Dehradun","65LEMINegotiable","Posted 9 months ago","2 BHK Apartment - 1,593 sq ft
Sudhowala, Dehradun","Status
Ready to move
Floor
1st of 5
Bathrooms
3"," 4,080/ sq ft ","Car Parking
24 X 7 Security
Power Backup
Lift Available
Children's play area
Not Available
Landscaped Gardens
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Club House
Not Available"
"https://www.makaan.com/dehradun/grah-avas-vikas-gav-green-view-blossom-in-aman-vihar-9189021/2bhk-2t-1150-sqft-apartment","1150 sq ft 2 BHK 2T NorthEast facing Apartment for sale at Rs 43.75 lacs in Grah GAV Green View Blossom 3th floor in Aman Vihar, Dehradun","43.75LEMINegotiable","Posted a year ago","2 BHK Apartment - 1,150 sq ft
Grah GAV Green View BlossomAman Vihar, Dehradun","Carpet area
950 sq ft
Status
Ready to move
Floor
3rd of 7
Bathrooms
2"," 3,804/ sq ft ","Jogging Track
ATM
Maintenance Staff
Lift Available
Intercom
Power Backup
Cafeteria
Children's play area
Rain Water Harvesting
Club House
Staff Quarter
Swimming Pool
Indoor Games
Hospital
School
Shopping Mall
Landscaped Gardens
Car Parking
Sports Facility
Gymnasium
Vaastu Compliant
24 X 7 Security"
"https://www.makaan.com/dehradun/builder-mdda-approved-semi-furnished-elegantly-designed-flats-super-luxury-gated-society-in-gms-road-9364295/3bhk-3t-1794-sqft-apartment","1794 sq ft 3 BHK 3T NorthEast facing Apartment for sale at Rs 75.00 lacs in Mdda approved Semi furnished Elegantly designed flats Super luxury Gated society 4th floor in GMS Road, Dehradun","75LEMINegotiable","Posted 10 months ago","3 BHK Apartment - 1,794 sq ft
Mdda approved Semi furnished Elegantly designed flats Super luxury Gated societyGMS Road, Dehradun","Carpet area
992 sq ft
Status
Ready to move
Floor
4th of 8
Bathrooms
3"," 4,180/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Maintenance Staff
Power Backup
Intercom
Children's play area
Cafeteria
Club House
Swimming Pool
Shopping Mall
Landscaped Gardens
Multipurpose Room
Rain Water Harvesting
Sports Facility
Gymnasium
Vaastu Compliant
24 X 7 Security
Car Parking"
"https://www.makaan.com/dehradun/max-estates-222-rajpur-in-rajpur-9562683/2bhk-2t-1400-sqft-apartment","1400 sq ft 2 BHK 2T North facing Apartment for sale at Rs 43.00 lacs in Max Estates 222 Rajpur 2th floor in Rajpur, Dehradun","43LEMI","Posted 9 months ago","2 BHK Apartment - 1,400 sq ft
Max Estates 222 RajpurRajpur, Dehradun","Carpet area
1200 sq ft
Status
Ready to move
Floor
2nd of 3
Bathrooms
2"," 3,071/ sq ft ","Maintenance Staff
Car Parking
24 X 7 Security
Power Backup
Lift Available
Club House
Not Available
Landscaped Gardens
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Children's play area
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/dehradun/builder-kamal-builder-in-rajpur-road-6502614/3bhk-3t-1950-sqft-apartment","1950 sq ft 3 BHK 3T East facing Apartment for sale at Rs 57.00 lacs in Kamal builder 3th floor in Rajpur Road, Dehradun","57LEMINegotiable","Posted 10 months ago","3 BHK Apartment - 1,950 sq ft
Kamal builderRajpur Road, Dehradun","Carpet area
1700 sq ft
Status
Ready to move
Floor
3rd of 3
Bathrooms
3"," 2,923/ sq ft ","Car Parking
24 X 7 Security
Power Backup
Club House
Not Available
Children's play area
Not Available
Lift Available
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
