"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Guwahati&cityId=63&templateId=MAKAAN_CITY_LISTING_BUY","properties in Guwahati :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/guwahati/builder-project-in-bhetapara-12395151/3bhk-2t-1260-sqft-apartment","1260 sq ft 3 BHK 2T NorthEast facing Apartment for sale at Rs 44.10 lacs in Project in Bhetapara, Guwahati","44.1LEMI","Posted 16 hours ago","3 BHK Apartment - 1,260 sq ft
Bhetapara, Guwahati","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 3,500/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/guwahati/evolution-construction-chitra-hari-apartment-in-kahilipara-12020553/2bhk-950-sqft-apartment","950 sq ft 2 BHK Apartment for sale at Rs 40.85 lacs in Evolution Chitra Hari Apartment in Kahilipara, Guwahati","40.85LEMI","Posted 2 months ago","2 BHK Apartment - 950 sq ft
Evolution Chitra Hari ApartmentKahilipara, Guwahati","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 4,300/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/guwahati/saroj-parkland-in-borbari-12175432/3bhk-3t-1630-sqft-apartment","1630 sq ft 3 BHK 3T Apartment for sale at Rs 62.00 lacs in Saroj Parkland in Borbari, Guwahati","62LEMI","Posted a month ago","3 BHK Apartment - 1,630 sq ft
Saroj ParklandBorbari, Guwahati","Status
Under Construction
Bathrooms
3
New/Resale
Resale"," 3,803/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/guwahati/htn-developers-om-plaza-in-kahilipara-12365408/2bhk-1045-sqft-apartment","1045 sq ft 2 BHK Apartment for sale at Rs 43.89 lacs in HTN Om Plaza in Kahilipara, Guwahati","43.89LEMI","Posted 7 days ago","2 BHK Apartment - 1,045 sq ft
HTN Om PlazaKahilipara, Guwahati","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 4,200/ sq ft ","Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/guwahati/htn-developers-om-plaza-in-kahilipara-12365407/3bhk-1375-sqft-apartment","1375 sq ft 3 BHK Under Construction property Apartment for sale at Rs 57.75 lacs in HTN Om Plaza in Kahilipara, Guwahati","57.75LEMI","Posted 7 days ago","3 BHK Apartment - 1,375 sq ft
HTN Om PlazaKahilipara, Guwahati","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 4,200/ sq ft ","Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/guwahati/htn-developers-om-plaza-in-kahilipara-12365406/2bhk-1011-sqft-apartment","1011 sq ft 2 BHK Under Construction property Apartment for sale at Rs 42.46 lacs in HTN Om Plaza in Kahilipara, Guwahati","42.46LEMI","Posted 7 days ago","2 BHK Apartment - 1,011 sq ft
HTN Om PlazaKahilipara, Guwahati","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 4,200/ sq ft ","Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/guwahati/evolution-construction-chitra-hari-apartment-in-kahilipara-12020552/3bhk-1170-sqft-apartment","1170 sq ft 3 BHK Under Construction property Apartment for sale at Rs 50.31 lacs in Evolution Chitra Hari Apartment in Kahilipara, Guwahati","50.31LEMI","Posted 2 months ago","3 BHK Apartment - 1,170 sq ft
Evolution Chitra Hari ApartmentKahilipara, Guwahati","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 4,300/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/guwahati/builder-rajdhany-bibha-in-ulubari-7755519/3bhk-2t-1400-sqft-apartment","1400 sq ft 3 BHK 2T NorthWest facing Apartment for sale at Rs 58.00 lacs in Rajdhany BIBHA 1th floor in Ulubari, Guwahati","58LEMINegotiable","Posted 11 days ago","3 BHK Apartment - 1,400 sq ft
Rajdhany BIBHAUlubari, Guwahati","Carpet area
1200 sq ft
Status
Under Construction
Floor
1st of 4
Bathrooms
2"," 4,142/ sq ft ","Car Parking
Vaastu Compliant
24 X 7 Security
Power Backup
Lift Available
Landscaped Gardens
Not Available
Children's play area
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Club House
Not Available"
"https://www.makaan.com/guwahati/saroj-parkland-in-borbari-9544260/3bhk-3t-1910-sqft-apartment","1910 sq ft 3 BHK 3T SouthWest facing Apartment for sale at Rs 69.85 lacs in Saroj Parkland 6th floor in Borbari, Guwahati","69.85LEMI","Posted 10 months ago","3 BHK Apartment - 1,910 sq ft
Saroj ParklandBorbari, Guwahati","Carpet area
1530 sq ft
Status
Under Construction
Floor
6th of 9
Bathrooms
3"," 3,657/ sq ft ","Landscaped Gardens
Lift Available
Rain Water Harvesting
Intercom
Maintenance Staff
Jogging Track
24 X 7 Security
Car Parking
Gymnasium
Club House
Children's play area
Power Backup
Swimming Pool
Not Available
Sports Facility
Not Available"
