"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Goa&cityId=27&templateId=MAKAAN_CITY_LISTING_BUY","properties in Goa :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/goa/builder-project-in-shree-ganeshpuri-12081653/1bhk-1t-824-sqft-apartment","824 sq ft 1 BHK 1T NorthEast facing Apartment for sale at Rs 60.00 lacs in Project in Shree Ganeshpuri, Goa","60LEMI","Posted a month ago","1 BHK Apartment - 824 sq ft
Shree Ganeshpuri, Goa","Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 7,281/ sq ft ","Gymnasium
Lift Available
Intercom
Swimming Pool
Power Backup
Club House
Children's play area
24 X 7 Security
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/goa/prabhat-developers-jade-garden-in-arpora-12365496/4bhk-4t-2937-sqft-apartment","2937 sq ft 4 BHK 4T Apartment for sale at Rs 2.50 crore in Prabhat Jade Garden in Arpora, Goa","2.5CrEMI","Posted 6 days ago","4 BHK Apartment - 2,937 sq ft
Prabhat Jade GardenArpora, Goa","Carpet area
2937 sq ft
Status
Ready to move
Bathrooms
4
New/Resale
Resale"," 8,512/ sq ft ","Gymnasium
Landscaped Gardens
Intercom
Swimming Pool
24 X 7 Security
Children's play area
Not Available
Club House
Not Available
Power Backup
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Lift Available
Not Available"
"https://www.makaan.com/goa/pritesh-atmaram-malik-casa-de-thivim-in-tivim-11993373/2bhk-2t-1076-sqft-apartment","1076 sq ft 2 BHK 2T Apartment for sale at Rs 40.00 lacs in Pritesh Atmaram Malik Casa De Thivim in Tivim, Goa","40LEMI","Posted 2 months ago","2 BHK Apartment - 1,076 sq ft
Pritesh Atmaram Malik Casa De ThivimTivim, Goa","Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 3,717/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/goa/ak-realty-mariners-bay-nagoa-in-saligao-11307486/1bhk-1t-605-sqft-apartment","605 sq ft 1 BHK 1T NorthEast facing Apartment for sale at Rs 39.50 lacs in Ak Mariners Bay Nagoa in Saligao, Goa","39.5LEMI","Posted 4 months ago","1 BHK Apartment - 605 sq ft
Ak Mariners Bay NagoaSaligao, Goa","Carpet area
473 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 6,528/ sq ft ","Intercom
Swimming Pool
Power Backup
Children's play area
Gymnasium
Not Available
24 X 7 Security
Not Available
Lift Available
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Club House
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/goa/builder-project-in-sancoale-12045537/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T Apartment for sale at Rs 67.00 lacs in Project in Sancoale, Goa","67LEMI","Posted 2 months ago","2 BHK Apartment - 1,000 sq ft
Sancoale, Goa","Carpet area
850 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 6,700/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/goa/reputed-builder-bay-village-apartments-in-mormugao-9905074/3bhk-2t-1370-sqft-apartment","1370 sq ft 3 BHK 2T SouthEast facing Apartment for sale at Rs 59.00 lacs in Reputed Builder Bay Village Apartments in Mormugao, Goa","59LEMI","Posted 6 months ago","3 BHK Apartment - 1,370 sq ft
Reputed Bay Village ApartmentsMormugao, Goa","Carpet area
1185 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 4,306/ sq ft ","Intercom
Sports Facility
Swimming Pool
Children's play area
Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Landscaped Gardens
Not Available
Jogging Track
Not Available
Club House
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/goa/builder-project-in-alto-betim-porvorim-11444829/2bhk-2t-1024-sqft-apartment","1024 sq ft 2 BHK 2T East facing Apartment for sale at Rs 50.00 lacs in Project in Alto Betim Porvorim, Goa","50LEMI","Posted 5 months ago","2 BHK Apartment - 1,024 sq ft
Alto Betim Porvorim, Goa","Carpet area
741 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 4,882/ sq ft ","Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/goa/builder-project-in-candolim-11651055/2bhk-2t-1300-sqft-apartment","1300 sq ft 2 BHK 2T Apartment for sale at Rs 1.35 crore in Project in Candolim, Goa","1.35CrEMI","Posted 4 months ago","2 BHK Apartment - 1,300 sq ft
Candolim, Goa","Carpet area
1250 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 10,384/ sq ft ","Swimming Pool
Club House
Power Backup
Lift Available
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Gymnasium
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/goa/kharangate-rosebowl-park-apartment-in-sancoale-9905810/2bhk-2t-1015-sqft-apartment","1015 sq ft 2 BHK 2T Apartment for sale at Rs 37.00 lacs in Kharangate Rosebowl Park Apartment in Sancoale, Goa","37LEMI","Posted 6 months ago","2 BHK Apartment - 1,015 sq ft
Kharangate Rosebowl Park ApartmentSancoale, Goa","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 3,645/ sq ft ","Shopping Mall
Lift Available
Landscaped Gardens
Jogging Track
Car Parking
Children's play area
Power Backup
24 X 7 Security
Not Available
Club House
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Gymnasium
Not Available"
