"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Kanpur&cityId=51&templateId=MAKAAN_CITY_LISTING_BUY","properties in Kanpur :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/kanpur/builder-project-in-kakadev-8995703/3bhk-2t-1500-sqft-apartment","1500 sq ft 3 BHK 2T Apartment for sale at Rs 49.00 lacs in Project in Kakadev, Kanpur","49LEMINegotiable","Posted 4 days ago","3 BHK Apartment - 1,500 sq ft
Kakadev, Kanpur","Carpet area
1400 sq ft
Status
Ready to move
Bathrooms
2
Balconies
2"," 3,266/ sq ft ","Landscaped Gardens
Lift Available
Intercom
Maintenance Staff
Jogging Track
Indoor Games
24 X 7 Security
Car Parking
Children's play area
Power Backup
Swimming Pool
Not Available
Club House
Not Available
Gymnasium
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/kanpur/builder-project-in-saket-nagar-9588377/3bhk-2t-1450-sqft-apartment","1450 sq ft 3 BHK 2T West facing Apartment for sale at Rs 62.00 lacs in Project 2th floor in Saket nagar, Kanpur","62LEMI","Posted 2 months ago","3 BHK Apartment - 1,450 sq ft
Saket nagar, Kanpur","Carpet area
1250 sq ft
Status
Under Construction
Floor
2nd of 4
Bathrooms
2"," 4,275/ sq ft ","Jogging Track
ATM
Maintenance Staff
Lift Available
Intercom
Power Backup
Cafeteria
Children's play area
Rain Water Harvesting
Club House
Multipurpose Room
Indoor Games
Hospital
School
Shopping Mall
Landscaped Gardens
Car Parking
Gymnasium
Vaastu Compliant
24 X 7 Security
Sports Facility
Not Available
Swimming Pool
Not Available"
"https://www.makaan.com/kanpur/builder-project-in-lajpat-nagar-8995901/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T Apartment for sale at Rs 31.00 lacs in Project in Lajpat Nagar, Kanpur","31LEMINegotiable","Posted 4 days ago","2 BHK Apartment - 1,000 sq ft
Lajpat Nagar, Kanpur","Carpet area
950 sq ft
Status
Ready to move
Bathrooms
2
Balconies
2"," 3,100/ sq ft ","Intercom
Maintenance Staff
Car Parking
24 X 7 Security
Power Backup
Lift Available
Landscaped Gardens
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/kanpur/builder-project-in-kidwai-nagar-8953150/2bhk-2t-1050-sqft-apartment","1050 sq ft 2 BHK 2T Apartment for sale at Rs 29.00 lacs in Project in Kidwai Nagar, Kanpur","29LEMINegotiable","Posted 6 days ago","2 BHK Apartment - 1,050 sq ft
Kidwai Nagar, Kanpur","Carpet area
1000 sq ft
Status
Ready to move
Bathrooms
2
Balconies
2"," 2,761/ sq ft ","Intercom
Maintenance Staff
Jogging Track
Car Parking
24 X 7 Security
Power Backup
Lift Available
Swimming Pool
Not Available
Sports Facility
Not Available
Children's play area
Not Available
Club House
Not Available
Landscaped Gardens
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/kanpur/builder-project-in-kidwai-nagar-8995953/2bhk-2t-1100-sqft-apartment","1100 sq ft 2 BHK 2T Apartment for sale at Rs 29.00 lacs in Project in Kidwai Nagar, Kanpur","29LEMINegotiable","Posted 4 days ago","2 BHK Apartment - 1,100 sq ft
Kidwai Nagar, Kanpur","Carpet area
1000 sq ft
Status
Ready to move
Bathrooms
2
Balconies
2"," 2,636/ sq ft ","Intercom
Maintenance Staff
Jogging Track
Indoor Games
Car Parking
24 X 7 Security
Power Backup
Lift Available
Sports Facility
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Landscaped Gardens
Not Available
Swimming Pool
Not Available"
"https://www.makaan.com/kanpur/builder-project-in-kidwai-nagar-8995767/3bhk-2t-1500-sqft-apartment","1500 sq ft 3 BHK 2T Apartment for sale at Rs 45.00 lacs in Project in Kidwai Nagar, Kanpur","45LEMINegotiable","Posted 4 days ago","3 BHK Apartment - 1,500 sq ft
Kidwai Nagar, Kanpur","Carpet area
1400 sq ft
Status
Ready to move
Bathrooms
2
Balconies
2"," 3,000/ sq ft ","Intercom
Maintenance Staff
Car Parking
24 X 7 Security
Power Backup
Lift Available
Landscaped Gardens
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/kanpur/builder-project-in-swaroop-nagar-8995831/3bhk-2t-1500-sqft-apartment","1500 sq ft 3 BHK 2T Apartment for sale at Rs 75.00 lacs in Project in Swaroop Nagar, Kanpur","75LEMINegotiable","Posted 4 days ago","3 BHK Apartment - 1,500 sq ft
Swaroop Nagar, Kanpur","Carpet area
1400 sq ft
Status
Ready to move
Bathrooms
2
Balconies
3"," 5,000/ sq ft ","Landscaped Gardens
Lift Available
Intercom
Maintenance Staff
Jogging Track
Indoor Games
24 X 7 Security
Car Parking
Power Backup
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Children's play area
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/kanpur/builder-individual-in-kidwai-nagar-9124147/3bhk-3t-1570-sqft-apartment","1570 sq ft 3 BHK 3T West facing Apartment for sale at Rs 57.00 lacs in Individual 2th floor in Kidwai Nagar, Kanpur","57LEMINegotiable","Posted a year ago","3 BHK Apartment - 1,570 sq ft
IndividualKidwai Nagar, Kanpur","Carpet area
1250 sq ft
Status
Under Construction
Floor
2nd of 4
Bathrooms
3"," 3,630/ sq ft ","Multipurpose Room
Staff Quarter
Rain Water Harvesting
Maintenance Staff
Car Parking
Vaastu Compliant
24 X 7 Security
Power Backup
Lift Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available
Club House
Not Available
Gymnasium
Not Available
Children's play area
Not Available
Swimming Pool
Not Available"
"https://www.makaan.com/kanpur/builder-gulmohar-residency-apartment-in-kalyanpur-7827078/3bhk-3t-1470-sqft-apartment","1470 sq ft 3 BHK 3T North facing Apartment for sale at Rs 65.00 lacs in Gulmohar residency apartment 2th floor in Kalyanpur, Kanpur","65LEMINegotiable","Posted 10 months ago","3 BHK Apartment - 1,470 sq ft
Gulmohar residency apartmentKalyanpur, Kanpur","Carpet area
1250 sq ft
Status
Ready to move
Floor
2nd of 6
Bathrooms
3"," 4,421/ sq ft ","Indoor Games
ATM
Jogging Track
Lift Available
Maintenance Staff
Power Backup
Cafeteria
Children's play area
Rain Water Harvesting
Club House
Staff Quarter
Swimming Pool
Car Parking
Hospital
School
Shopping Mall
Landscaped Gardens
24 X 7 Security
Sports Facility
Gymnasium
Vaastu Compliant"
