"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Lucknow&cityId=23&templateId=MAKAAN_CITY_LISTING_BUY","properties in Lucknow :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/lucknow/builder-project-in-safedabad-12244294/3bhk-2t-1144-sqft-apartment","1144 sq ft 3 BHK 2T East facing Apartment for sale at Rs 21.99 lacs in Project in Safedabad, Lucknow","21.99LEMI","Posted 18 days ago","3 BHK Apartment - 1,144 sq ft
Safedabad, Lucknow","Carpet area
990 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 1,922/ sq ft ","Sports Facility
Gymnasium
Club House
Children's play area
Power Backup
Lift Available
Not Available
24 X 7 Security
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/lucknow/builder-project-in-aashiyana-12356539/2bhk-2t-1180-sqft-apartment","1180 sq ft 2 BHK 2T Apartment for sale at Rs 39.00 lacs in Project in Aashiyana, Lucknow","39LEMI","Posted 7 days ago","2 BHK Apartment - 1,180 sq ft
Aashiyana, Lucknow","Carpet area
1150 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 3,305/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/lucknow/pahari-mata-sehkari-avas-samiti-ltd-goel-heights-in-matiyari-12384135/4bhk-3174-sqft-apartment","3174 sq ft 4 BHK Apartment for sale at Rs 95.22 lacs in Pahari Mata Sehkari Avas Samiti Ltd Goel Heights in Matiyari, Lucknow","95.22LEMI","Posted 4 days ago","4 BHK Apartment - 3,174 sq ft
Goel Goel HeightsMatiyari, Lucknow","Status
Ready to move
New/Resale
New
Age of Property
3 - 4 years"," 3,000/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Staff Quarter
Rain Water Harvesting
Jogging Track
24 X 7 Security
Car Parking
Club House
Vaastu Compliant
Children's play area
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/lucknow/pahari-mata-sehkari-avas-samiti-ltd-goel-heights-in-matiyari-12385115/4bhk-3174-sqft-apartment","3174 sq ft 4 BHK Apartment for sale at Rs 95.22 lacs in Pahari Mata Sehkari Avas Samiti Ltd Goel Heights in Matiyari, Lucknow","95.22LEMI","Posted 4 days ago","4 BHK Apartment - 3,174 sq ft
Goel Goel HeightsMatiyari, Lucknow","Status
Ready to move
New/Resale
New
Age of Property
3 - 4 years"," 3,000/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Staff Quarter
Rain Water Harvesting
Jogging Track
24 X 7 Security
Car Parking
Club House
Vaastu Compliant
Children's play area
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/lucknow/pahari-mata-sehkari-avas-samiti-ltd-goel-heights-in-matiyari-12385108/3bhk-1680-sqft-apartment","1680 sq ft 3 BHK Completed property Apartment for sale at Rs 50.40 lacs in Pahari Mata Sehkari Avas Samiti Ltd Goel Heights in Matiyari, Lucknow","50.4LEMI","Posted 4 days ago","3 BHK Apartment - 1,680 sq ft
Goel Goel HeightsMatiyari, Lucknow","Status
Ready to move
New/Resale
New
Age of Property
3 - 4 years"," 3,000/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Staff Quarter
Rain Water Harvesting
Jogging Track
24 X 7 Security
Car Parking
Club House
Vaastu Compliant
Children's play area
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/lucknow/oro-constructions-oro-elements-in-jankipuram-12120381/3bhk-645-sqft-apartment","645 sq ft 3 BHK Apartment for sale at Rs 39.41 lacs in Oro ORO Elements in Jankipuram, Lucknow","39.41LEMI","Posted a month ago","3 BHK Apartment - 645 sq ft
Oro ORO ElementsJankipuram, Lucknow","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 6,110/ sq ft ","Landscaped Gardens
Lift Available
Jogging Track
Indoor Games
Swimming Pool
Car Parking
Club House
Children's play area
Power Backup
Not Available
24 X 7 Security
Not Available
Sports Facility
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/lucknow/pahari-mata-sehkari-avas-samiti-ltd-goel-heights-in-matiyari-12384132/3bhk-1680-sqft-apartment","1680 sq ft 3 BHK Completed property Apartment for sale at Rs 50.40 lacs in Pahari Mata Sehkari Avas Samiti Ltd Goel Heights in Matiyari, Lucknow","50.4LEMI","Posted 4 days ago","3 BHK Apartment - 1,680 sq ft
Goel Goel HeightsMatiyari, Lucknow","Status
Ready to move
New/Resale
New
Age of Property
3 - 4 years"," 3,000/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Staff Quarter
Rain Water Harvesting
Jogging Track
24 X 7 Security
Car Parking
Club House
Vaastu Compliant
Children's play area
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/lucknow/oro-constructions-oro-elements-in-jankipuram-12120379/2bhk-532-sqft-apartment","532 sq ft 2 BHK Under Construction property Apartment for sale at Rs 32.18 lacs in Oro ORO Elements in Jankipuram, Lucknow","32.18LEMI","Posted a month ago","2 BHK Apartment - 532 sq ft
Oro ORO ElementsJankipuram, Lucknow","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 6,048/ sq ft ","Landscaped Gardens
Lift Available
Jogging Track
Indoor Games
Swimming Pool
Car Parking
Club House
Children's play area
Power Backup
Not Available
24 X 7 Security
Not Available
Sports Facility
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/lucknow/rishita-developers-mulberry-heights-phase-1-in-sushant-golf-city-12271579/2bhk-807-sqft-apartment","807 sq ft 2 BHK Apartment for sale at Rs 57.59 lacs in Rishita Mulberry Heights Phase 1 in Sushant Golf City, Lucknow","57.58LEMI","Posted 20 days ago","2 BHK Apartment - 807 sq ft
Rishita Mulberry Heights Phase 1Sushant Golf City, Lucknow","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 7,135/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Multipurpose Room
Jogging Track
Indoor Games
24 X 7 Security
Car Parking
Club House
Children's play area
Sports Facility
Not Available"
