"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Nashik&cityId=35&templateId=MAKAAN_CITY_LISTING_BUY","properties in Nashik :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/nashik/ashoka-realty-atharva-heights-in-dasak-12184966/3bhk-1175-sqft-apartment","1175 sq ft 3 BHK Apartment for sale at Rs 50.33 lacs in Ashoka Atharva Heights in Dasak, Nashik","50.32LEMI","Posted a month ago","3 BHK Apartment - 1,175 sq ft
Ashoka Atharva HeightsDasak, Nashik","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 4,283/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/nashik/builder-project-in-indira-nagar-11798866/1bhk-2t-850-sqft-apartment","850 sq ft 1 BHK 2T East facing Apartment for sale at Rs 38.00 lacs in Project in Indira Nagar, Nashik","38LEMI","Posted 3 months ago","1 BHK Apartment - 850 sq ft
Indira Nagar, Nashik","Carpet area
830 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 4,470/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/nashik/builder-project-in-renuka-nagar-11684131/3bhk-2400-sqft-apartment","2400 sq ft 3 BHK Apartment for sale at Rs 95.00 lacs in Project in Renuka Nagar, Nashik","95LEMI","Posted 4 months ago","3 BHK Apartment - 2,400 sq ft
Renuka Nagar, Nashik","Status
Ready to move
New/Resale
Resale
Age of Property
1 - 2 years"," 3,958/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/nashik/arv-group-silver-woods-residency-in-dwarka-12313414/1rk-1t-630-sqft-apartment","630 sq ft 1RK 1T Apartment for sale at Rs 45.00 lacs in ARV Silver Woods Residency in Dwarka, Nashik","45LEMI","Posted 14 days ago","1 RK Studio Apartment - 630 sq ft
ARV Silver Woods ResidencyDwarka, Nashik","Carpet area
525 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 7,142/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/nashik/builder-project-in-makhmalabad-11960228/1bhk-1t-710-sqft-apartment","710 sq ft 1 BHK 1T Apartment for sale at Rs 25.00 lacs in Project in Makhmalabad, Nashik","25LEMI","Posted 2 months ago","1 BHK Apartment - 710 sq ft
Makhmalabad, Nashik","Carpet area
568 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 3,521/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/nashik/builder-project-in-vijaynagar-colony-11878336/1bhk-1t-530-sqft-apartment","530 sq ft 1 BHK 1T East facing Apartment for sale at Rs 11.00 lacs in Project in Vijaynagar Colony, Nashik","11LEMI","Posted 3 months ago","1 BHK Apartment - 530 sq ft
Vijaynagar Colony, Nashik","Carpet area
400 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 2,075/ sq ft ","Power Backup
Lift Available
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/nashik/ashoka-realty-atharva-heights-in-dasak-12184965/2bhk-856-sqft-apartment","856 sq ft 2 BHK Under Construction property Apartment for sale at Rs 36.74 lacs in Ashoka Atharva Heights in Dasak, Nashik","36.74LEMI","Posted a month ago","2 BHK Apartment - 856 sq ft
Ashoka Atharva HeightsDasak, Nashik","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 4,292/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/nashik/builder-project-in-deolali-gaon-9797179/1bhk-1t-640-sqft-apartment","640 sq ft 1 BHK 1T NorthEast facing Apartment for sale at Rs 19.90 lacs in Project in Deolali Gaon, Nashik","19.9LEMI","Posted 9 months ago","1 BHK Apartment - 640 sq ft
Deolali Gaon, Nashik","Carpet area
450 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 3,109/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/nashik/builder-project-in-ambad-village-11827225/1bhk-1t-700-sqft-apartment","700 sq ft 1 BHK 1T East facing Apartment for sale at Rs 11.37 lacs in Project in Ambad Village, Nashik","11.36LEMI","Posted 3 months ago","1 BHK Apartment - 700 sq ft
Ambad Village, Nashik","Carpet area
600 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 1,624/ sq ft ","Children's play area
Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
