"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Raipur&cityId=166&templateId=MAKAAN_CITY_LISTING_BUY","properties in Raipur :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/raipur/sun-and-sun-inframetric-solus-heights-in-amlihdih-12346361/1bhk-1t-651-sqft-apartment","651 sq ft 1 BHK 1T Apartment for sale at Rs 18.03 lacs in Sun Solus Heights in Amlihdih, Raipur","18.03LEMI","Posted 10 days ago","1 BHK Apartment - 651 sq ft
Sun Solus HeightsAmlihdih, Raipur","Carpet area
381 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 2,770/ sq ft ","Sports Facility
Swimming Pool
Gymnasium
Club House
Children's play area
Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/raipur/raheja-group-rahejas-sky-scapes-in-saddu-8740566/3bhk-3t-1348-sqft-apartment","1348 sq ft 3 BHK 3T East facing Apartment for sale at Rs 35.00 lacs in Raheja Rahejas Sky Scapes 2th floor in Saddu, Raipur","35LEMINegotiable","Posted 2 months ago","3 BHK Apartment - 1,348 sq ft
Rahejas Sky ScapesSaddu, Raipur","Carpet area
1200 sq ft
Status
Ready to move
Floor
2nd of 6
Bathrooms
3"," 2,596/ sq ft ","Gymnasium
Landscaped Gardens
Lift Available
Jogging Track
Indoor Games
Sports Facility
Car Parking
Club House
Children's play area
24 X 7 Security
Power Backup
Swimming Pool
Not Available"
"https://www.makaan.com/raipur/builder-project-in-saddu-9674843/3bhk-3t-1348-sqft-apartment","1348 sq ft 3 BHK 3T East facing Apartment for sale at Rs 35.00 lacs in Project 3th floor in Saddu, Raipur","35LEMI","Posted a month ago","3 BHK Apartment - 1,348 sq ft
Saddu, Raipur","Carpet area
1250 sq ft
Status
Ready to move
Floor
3rd of 8
Bathrooms
3"," 2,596/ sq ft ","Landscaped Gardens
Lift Available
Gymnasium
Power Backup
Jogging Track
Indoor Games
24 X 7 Security
Car Parking
Vaastu Compliant
Children's play area
Swimming Pool
Not Available
Sports Facility
Not Available
Club House
Not Available"
"https://www.makaan.com/raipur/builder-wallfort-woods-in-vidhan-sabha-road-7741988/2bhk-2t-1053-sqft-apartment","1053 sq ft 2 BHK 2T East facing Apartment for sale at Rs 27.38 lacs in WALLFORT WOODS 1th floor in Vidhan Sabha Road, Raipur","27.37LEMI","Posted 19 days ago","2 BHK Apartment - 1,053 sq ft
WALLFORT WOODSVidhan Sabha Road, Raipur","Carpet area
789 sq ft
Status
Under Construction
Floor
1st of 6
Bathrooms
2"," 2,600/ sq ft ","Gymnasium
Landscaped Gardens
24 X 7 Security
Rain Water Harvesting
Swimming Pool
Maintenance Staff
Jogging Track
Indoor Games
Sports Facility
Children's play area
Car Parking
Club House
Vaastu Compliant
Power Backup
Not Available
Lift Available
Not Available"
"https://www.makaan.com/raipur/builder-jewel-o-prop-in-kamal-vihar-8480509/2bhk-2t-635-sqft-apartment","635 sq ft 2 BHK 2T Apartment for sale at Rs 14.99 lacs in Jewel O prop in Kamal Vihar, Raipur","14.99LEMI","Posted 7 days ago","2 BHK Apartment - 635 sq ft
Jewel O propKamal Vihar, Raipur","Carpet area
500 sq ft
Status
Under Construction
Bathrooms
2
Additional Rooms
2 rooms(study room, pooja room)"," 2,360/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/raipur/s-b-groups-rahejas-arth-in-saddu-8730973/2bhk-2t-995-sqft-apartment","995 sq ft 2 BHK 2T East facing Under Construction property Apartment for sale at Rs 26.00 lacs in S B Rahejas Arth 3th floor in Saddu, Raipur","25.99LEMI","Posted a month ago","2 BHK Apartment - 995 sq ft
Rahejas ArthLabhandi, Raipur","Carpet area
800 sq ft
Status
Under Construction
Floor
3rd of 7
Bathrooms
2"," 2,613/ sq ft ","Gymnasium
Landscaped Gardens
Lift Available
Indoor Games
Car Parking
24 X 7 Security
Power Backup
Children's play area
Not Available
Club House
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available"
"https://www.makaan.com/raipur/builder-individual-flats-in-new-raipur-shahid-veer-narayan-singh-stedium-road-8679025/3bhk-3t-1268-sqft-apartment","1268 sq ft 3 BHK 3T East facing Apartment for sale at Rs 32.00 lacs in Individual flats 1th floor in New Raipur Shahid Veer Narayan Singh Stedium Road, Raipur","32LEMINegotiable","Posted 2 months ago","3 BHK Apartment - 1,268 sq ft
Individual flatsNew Raipur Shahid Veer Narayan Singh Stedium Road, Raipur","Carpet area
1000 sq ft
Status
Ready to move
Floor
1st of 6
Bathrooms
3"," 2,523/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Power Backup
Rain Water Harvesting
Jogging Track
Indoor Games
Sports Facility
24 X 7 Security
Car Parking
Club House
Children's play area"
"https://www.makaan.com/raipur/builder-jewelo-kamal-vihar-raipur-in-new-dhamtari-road-9680083/2bhk-2t-635-sqft-apartment","635 sq ft 2 BHK 2T East facing Apartment for sale at Rs 15.00 lacs in Jewelo kamal vihar raipur 3th floor in New Dhamtari Road, Raipur","15LEMINegotiable","Posted 2 months ago","2 BHK Apartment - 635 sq ft
Jewelo kamal vihar raipurNew Dhamtari Road, Raipur","Carpet area
600 sq ft
Status
Ready to move
Floor
3rd of 8
Bathrooms
2"," 2,362/ sq ft ","Landscaped Gardens
Lift Available
Indoor Games
Power Backup
Jogging Track
Children's play area
Multipurpose Room
Rain Water Harvesting
Intercom
Maintenance Staff
Club House
24 X 7 Security
Car Parking
Gymnasium
Swimming Pool
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/raipur/builder-east-12-in-shankar-nagar-6521537/2bhk-2t-1200-sqft-apartment","1200 sq ft 2 BHK 2T East facing Apartment for sale at Rs 36.00 lacs in east 12 7th floor in Shankar Nagar, Raipur","36LEMINegotiable","Posted 12 days ago","2 BHK Apartment - 1,200 sq ft
east 12Shankar Nagar, Raipur","Carpet area
850 sq ft
Status
Under Construction
Floor
7th of 12
Bathrooms
2"," 3,000/ sq ft ","Gymnasium
Landscaped Gardens
Swimming Pool
Lift Available
Rain Water Harvesting
Jogging Track
Indoor Games
24 X 7 Security
Car Parking
Club House
Children's play area
Sports Facility
Not Available
Power Backup
Not Available"
"https://www.makaan.com/raipur/raheja-group-rahejas-sky-scapes-in-saddu-8596468/3bhk-3t-1348-sqft-apartment","1348 sq ft 3 BHK 3T NorthEast facing Apartment for sale at Rs 35.00 lacs in Raheja Rahejas Sky Scapes 1th floor in Saddu, Raipur","35LEMINegotiable","Posted 2 months ago","3 BHK Apartment - 1,348 sq ft
Rahejas Sky ScapesSaddu, Raipur","Carpet area
1100 sq ft
Status
Ready to move
Floor
1st of 6
Bathrooms
3"," 2,596/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
