"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Surat&cityId=40&templateId=MAKAAN_CITY_LISTING_BUY","properties in Surat :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/surat/builder-project-in-kamrej-1-12072482/2bhk-2t-1197-sqft-apartment","1197 sq ft 2 BHK 2T Apartment for sale at Rs 15.00 lacs in Project in Kamrej 1, Surat","15LEMI","Posted a month ago","2 BHK Apartment - 1,197 sq ft
Kamrej 1, Surat","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 1,253/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/surat/builder-project-in-athwa-12292033/3bhk-3t-1765-sqft-apartment","1765 sq ft 3 BHK 3T Apartment for sale at Rs 75.00 lacs in Project in Athwa, Surat","75LEMI","Posted 11 days ago","3 BHK Apartment - 1,765 sq ft
Athwa, Surat","Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 4,249/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/surat/builder-project-in-nanpura-11993374/2bhk-1t-850-sqft-apartment","850 sq ft 2 BHK 1T East facing Apartment for sale at Rs 31.00 lacs in Project in Nanpura, Surat","31LEMI","Posted a month ago","2 BHK Apartment - 850 sq ft
Nanpura, Surat","Carpet area
850 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 3,647/ sq ft ","Sports Facility
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/surat/marvella-group-palladium-residency-in-udhna-11631805/2bhk-1186-sqft-apartment","1186 sq ft 2 BHK Apartment for sale at Rs 35.50 lacs in Marvella Palladium Residency in Udhna, Surat","35.49LEMI","Posted 4 months ago","2 BHK Apartment - 1,186 sq ft
Marvella Palladium ResidencyUdhna, Surat","Status
Under Construction
New/Resale
New
Price Negotiable
No"," 2,993/ sq ft ","Landscaped Gardens
Lift Available
Multipurpose Room
Intercom
Indoor Games
Car Parking
Gymnasium
Children's play area
Power Backup
Swimming Pool
Not Available
Jogging Track
Not Available
Club House
Not Available
24 X 7 Security
Not Available
Sports Facility
Not Available"
"https://www.makaan.com/surat/builder-project-in-palsana-12388461/2bhk-2t-730-sqft-apartment","730 sq ft 2 BHK 2T East facing Apartment for sale at Rs 12.50 lacs in Project in Palsana, Surat","12.5LEMI","Posted 9 hours ago","2 BHK Apartment - 730 sq ft
Palsana, Surat","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 1,712/ sq ft ","Power Backup
Lift Available
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/surat/builder-project-in-athwa-12220887/3bhk-4t-2000-sqft-apartment","2000 sq ft 3 BHK 4T Apartment for sale at Rs 100.00 lacs in Project in Athwa, Surat","1CrEMI","Posted a month ago","3 BHK Apartment - 2,000 sq ft
Athwa, Surat","Status
Ready to move
Bathrooms
4
New/Resale
Resale"," 5,000/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/surat/builder-project-in-kamrej-1-9534131/2bhk-1t-586-sqft-apartment","586 sq ft 2 BHK 1T East facing Apartment for sale at Rs 15.00 lacs in Project in Kamrej 1, Surat","15LEMI","Posted 5 months ago","2 BHK Apartment - 586 sq ft
Kamrej 1, Surat","Carpet area
485 sq ft
Status
Ready to move
Bathrooms
1
New/Resale
Resale"," 2,559/ sq ft ","Children's play area
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/surat/builder-project-in-jalaramnager-11284045/2bhk-2t-1180-sqft-apartment","1180 sq ft 2 BHK 2T Apartment for sale at Rs 26.50 lacs in Project in Jalaramnager, Surat","26.5LEMI","Posted 6 months ago","2 BHK Apartment - 1,180 sq ft
Jalaramnager, Surat","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 2,245/ sq ft ","Children's play area
Power Backup
Lift Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/surat/builder-project-in-kamrej-1-12388394/2bhk-2t-717-sqft-apartment","717 sq ft 2 BHK 2T East facing Apartment for sale at Rs 21.20 lacs in Project in Kamrej 1, Surat","21.2LEMI","Posted 9 hours ago","2 BHK Apartment - 717 sq ft
Kamrej 1, Surat","Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 2,956/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/surat/aagam-cross-roads-in-new-city-light-road-12220859/3bhk-4t-1440-sqft-apartment","1440 sq ft 3 BHK 4T Apartment for sale at Rs 63.00 lacs in Aagam Cross Roads in New City Light Road, Surat","63LEMI","Posted a month ago","3 BHK Apartment - 1,440 sq ft
Aagam Cross RoadsNew City Light Road, Surat","Status
Ready to move
Bathrooms
4
New/Resale
Resale"," 4,375/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
