"Url","Name","price","posteddate","bhk","features","rate","amenities"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Visakhapatnam&cityId=41&templateId=MAKAAN_CITY_LISTING_BUY","properties in Visakhapatnam :Makaan.com","NA","NA","NA","NA","NA","NA"
"https://www.makaan.com/visakhapatnam/chalamaji-infra-projects-private-limited-landmark-in-madhurawada-12269429/2bhk-2t-1140-sqft-apartment","1140 sq ft 2 BHK 2T East facing Apartment for sale at Rs 38.00 lacs in Chalamaji Infra Landmark in Madhurawada, Visakhapatnam","38LEMI","Posted 20 days ago","2 BHK Apartment - 1,140 sq ft
Chalamaji Infra LandmarkMadhurawada, Visakhapatnam","Carpet area
950 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 3,333/ sq ft ","Intercom
Power Backup
Children's play area
Lift Available
Club House
Not Available
24 X 7 Security
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available
Gymnasium
Not Available"
"https://www.makaan.com/visakhapatnam/navya-constructions-gadiraju-empire-in-pedda-waltair-12387962/4bhk-3t-2800-sqft-apartment","2800 sq ft 4 BHK 3T SouthEast facing Apartment for sale at Rs 2.10 crore in Navya GadiRaju Empire in Pedda Waltair, Visakhapatnam","2.1CrEMI","Posted 4 days ago","4 BHK Apartment - 2,800 sq ft
Navya GadiRaju EmpirePedda Waltair, Visakhapatnam","Carpet area
2040 sq ft
Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 7,500/ sq ft ","Swimming Pool
Landscaped Gardens
Sports Facility
Lift Available
Indoor Games
Power Backup
Children's play area
Multipurpose Room
Rain Water Harvesting
Intercom
Jogging Track
Vaastu Compliant
24 X 7 Security
Car Parking
Gymnasium
Club House"
"https://www.makaan.com/visakhapatnam/builder-project-in-madhurawada-12127540/2bhk-2t-1140-sqft-apartment","1140 sq ft 2 BHK 2T East facing Apartment for sale at Rs 41.04 lacs in Project in Madhurawada, Visakhapatnam","41.04LEMI","Posted a month ago","2 BHK Apartment - 1,140 sq ft
Madhurawada, Visakhapatnam","Carpet area
912 sq ft
Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 3,600/ sq ft ","Gymnasium
Lift Available
Intercom
Sports Facility
Swimming Pool
Power Backup
Children's play area
24 X 7 Security
Not Available
Club House
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/visakhapatnam/builder-project-in-madhurawada-12224421/3bhk-3t-2100-sqft-apartment","2100 sq ft 3 BHK 3T North facing Apartment for sale at Rs 75.00 lacs in Project in Madhurawada, Visakhapatnam","75LEMI","Posted a month ago","3 BHK Apartment - 2,100 sq ft
Madhurawada, Visakhapatnam","Carpet area
1900 sq ft
Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 3,571/ sq ft ","Power Backup
Lift Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/visakhapatnam/builder-project-in-atchutapuram-9576438/3bhk-2t-1478-sqft-apartment","1478 sq ft 3 BHK 2T East facing Apartment for sale at Rs 33.00 lacs in Project in Atchutapuram, Visakhapatnam","33LEMI","Posted 5 months ago","3 BHK Apartment - 1,478 sq ft
Atchutapuram, Visakhapatnam","Carpet area
1378 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 2,232/ sq ft ","Sports Facility
Children's play area
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/visakhapatnam/builder-project-in-pendurthi-9645962/4bhk-3t-1800-sqft-apartment","1800 sq ft 4 BHK 3T East facing Apartment for sale at Rs 45.00 lacs in Project in Pendurthi, Visakhapatnam","45LEMI","Posted 5 months ago","4 BHK Apartment - 1,800 sq ft
Pendurthi, Visakhapatnam","Carpet area
1700 sq ft
Status
Ready to move
Bathrooms
3
New/Resale
Resale"," 2,500/ sq ft ","Sports Facility
Children's play area
Lift Available
Power Backup
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/visakhapatnam/builder-project-in-madhurawada-12100671/2bhk-2t-985-sqft-apartment","985 sq ft 2 BHK 2T Apartment for sale at Rs 39.50 lacs in Project in Madhurawada, Visakhapatnam","39.5LEMI","Posted 2 months ago","2 BHK Apartment - 985 sq ft
Madhurawada, Visakhapatnam","Status
Under Construction
Bathrooms
2
New/Resale
Resale"," 4,010/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/visakhapatnam/builder-project-in-aganampudi-11974818/2bhk-2t-1150-sqft-apartment","1150 sq ft 2 BHK 2T Apartment for sale at Rs 37.00 lacs in Project in Aganampudi, Visakhapatnam","37LEMI","Posted 2 months ago","2 BHK Apartment - 1,150 sq ft
Aganampudi, Visakhapatnam","Status
Under Construction
Bathrooms
2
New/Resale
New"," 3,217/ sq ft ","Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Children's play area
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Sports Facility
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
"https://www.makaan.com/visakhapatnam/builder-project-in-gajuwaka-9545720/2bhk-2t-1000-sqft-apartment","1000 sq ft 2 BHK 2T East facing Apartment for sale at Rs 15.00 lacs in Project in Gajuwaka, Visakhapatnam","15LEMI","Posted 5 months ago","2 BHK Apartment - 1,000 sq ft
Gajuwaka, Visakhapatnam","Carpet area
948 sq ft
Status
Ready to move
Bathrooms
2
New/Resale
Resale"," 1,500/ sq ft ","Sports Facility
Children's play area
Lift Available
Not Available
Power Backup
Not Available
24 X 7 Security
Not Available
Club House
Not Available
Gymnasium
Not Available
Swimming Pool
Not Available
Jogging Track
Not Available
Landscaped Gardens
Not Available"
